%id	start
C000000	L000002
C000001	L000002
C000002	L000003
C000003	L000004
C000004	L000000
C000005	L000000
C000006	L000001
C000007	L000002
C000008	L000002
C000009	L000003
C000010	L000003
C000011	L000003
C000012	L000000
C000013	L000000
C000014	L000001
C000015	L000001
C000016	L000157
C000017	L000157
C000018	L000139
C000019	L000004
C000020	L000000
C000021	L000001
C000022	L000000
C000023	L000157
C000024	L000000
C000025	L000000
C000026	L000004
C000027	L000062
C000028	L000062
C000029	L000001
C000030	L000003
C000031	L000139
C000032	L000157
C000033	L000000
C000034	L000000
C000035	L000003
C000036	L000001
C000037	L000139
C000038	L000003
C000039	L000004
C000040	L000004
C000041	L000004
C000042	L000139
C000043	L000157
C000044	L000004
C000045	L000000
C000046	L000003
C000047	L000000
C000048	L000004
C000049	L000004
C000050	L000000
C000051	L000062
C000052	L000002
C000053	L000139
C000054	L000139
C000055	L000139
C000056	L000062
C000057	L000157
C000058	L000062
C000059	L000062
C000060	L000004
C000061	L000000
C000062	L000000
C000063	L000001
C000064	L000062
C000065	L000157
C000066	L000062
C000067	L000062
C000068	L000062
C000069	L000139
C000070	L000002
C000071	L000139
C000072	L000139
C000073	L000000
C000074	L000157
C000075	L000157
C000076	L000000
C000077	L000004
C000078	L000000
C000079	L000000
C000080	L000139
C000081	L000000
C000082	L000000
C000083	L000003
C000084	L000157
C000085	L000004
C000086	L000003
C000087	L000157
C000088	L000002
C000089	L000001
C000090	L000139
C000091	L000139
C000092	L000139
C000093	L000002
C000094	L000062
C000095	L000003
C000096	L000003
C000097	L000139
C000098	L000000
C000099	L000000
C000100	L000002
C000101	L000003
C000102	L000003
C000103	L000062
C000104	L000062
C000105	L000139
C000106	L000139
C000107	L000139
C000108	L000002
C000109	L000000
C000110	L000002
C000111	L000002
C000112	L000002
C000113	L000003
C000114	L000001
C000115	L000001
C000116	L000062
C000117	L000002
C000118	L000002
C000119	L000000
C000120	L000157
C000121	L000062
C000122	L000062
C000123	L000002
C000124	L000001
C000125	L000002
C000126	L000001
C000127	L000062
C000128	L000000
C000129	L000001
C000130	L000001
C000131	L000139
C000132	L000139
C000133	L000157
C000134	L000139
C000135	L000139
C000136	L000062
C000137	L000002
C000138	L000139
C000139	L000002
C000140	L000004
C000141	L000002
C000142	L000139
C000143	L000139
C000144	L000000
C000145	L000157
C000146	L000139
C000147	L000003
C000148	L000004
C000149	L000062
C000150	L000001
C000151	L000001
C000152	L000001
C000153	L000002
C000154	L000002
C000155	L000157
C000156	L000157
C000157	L000000
C000158	L000001
C000159	L000003
C000160	L000001
C000161	L000157
C000162	L000002
C000163	L000001
C000164	L000002
C000165	L000062
C000166	L000001
C000167	L000003
C000168	L000002
C000169	L000000
C000170	L000062
C000171	L000004
C000172	L000002
C000173	L000139
C000174	L000062
C000175	L000004
C000176	L000004
C000177	L000062
C000178	L000000
C000179	L000139
C000180	L000000
C000181	L000139
C000182	L000004
C000183	L000062
C000184	L000157
C000185	L000002
C000186	L000003
C000187	L000004
C000188	L000000
C000189	L000157
C000190	L000139
C000191	L000003
C000192	L000002
C000193	L000139
C000194	L000002
C000195	L000004
C000196	L000001
C000197	L000002
C000198	L000157
C000199	L000139
C000200	L000000
C000201	L000002
C000202	L000139
C000203	L000139
C000204	L000001
C000205	L000139
C000206	L000004
C000207	L000004
C000208	L000002
C000209	L000002
C000210	L000001
