%id	home	costs_per_day
D000000	L000002	11000
D000001	L000002	11000
D000002	L000002	11000
D000003	L000003	7000
D000004	L000003	8000
D000005	L000004	10000
D000006	L000000	7000
D000007	L000001	7000
D000008	L000002	7000
D000009	L000003	7000
D000010	L000003	7000
D000011	L000003	7000
D000012	L000000	10000
D000013	L000000	7000
D000014	L000001	8000
D000015	L000001	8000
D000016	L000157	9000
D000017	L000139	7000
D000018	L000004	10000
D000019	L000004	11000
D000020	L000000	10000
D000021	L000001	8000
D000022	L000000	9000
D000023	L000000	7000
D000024	L000157	8000
D000025	L000157	7000
D000026	L000000	9000
D000027	L000000	7000
D000028	L000004	11000
D000029	L000062	11000
D000030	L000001	10000
D000031	L000001	10000
D000032	L000003	7000
D000033	L000139	9000
D000034	L000157	10000
D000035	L000000	9000
D000036	L000003	11000
D000037	L000001	9000
D000038	L000139	8000
D000039	L000003	9000
D000040	L000004	9000
D000041	L000004	7000
D000042	L000139	11000
D000043	L000157	7000
D000044	L000004	10000
D000045	L000000	8000
D000046	L000000	11000
D000047	L000003	8000
D000048	L000000	9000
D000049	L000000	8000
D000050	L000004	8000
D000051	L000004	9000
D000052	L000000	7000
D000053	L000062	10000
D000054	L000002	8000
D000055	L000139	9000
D000056	L000062	11000
D000057	L000157	8000
D000058	L000062	8000
D000059	L000004	7000
D000060	L000000	10000
D000061	L000001	8000
D000062	L000001	8000
D000063	L000062	9000
D000064	L000157	7000
D000065	L000062	8000
D000066	L000062	10000
D000067	L000139	11000
D000068	L000002	11000
D000069	L000139	10000
D000070	L000000	10000
D000071	L000157	10000
D000072	L000000	9000
D000073	L000004	7000
D000074	L000000	8000
D000075	L000000	9000
D000076	L000139	8000
D000077	L000139	11000
D000078	L000000	8000
D000079	L000000	9000
D000080	L000003	10000
D000081	L000157	7000
D000082	L000157	9000
D000083	L000004	7000
D000084	L000003	10000
D000085	L000157	7000
D000086	L000157	11000
D000087	L000002	11000
D000088	L000001	9000
D000089	L000139	11000
D000090	L000002	7000
D000091	L000062	8000
D000092	L000003	8000
D000093	L000003	11000
D000094	L000139	9000
D000095	L000000	9000
D000096	L000002	11000
D000097	L000003	7000
D000098	L000062	9000
D000099	L000062	7000
D000100	L000062	9000
D000101	L000139	11000
D000102	L000002	11000
D000103	L000000	9000
D000104	L000002	11000
D000105	L000003	8000
D000106	L000003	7000
D000107	L000001	10000
D000108	L000062	9000
D000109	L000062	11000
D000110	L000002	7000
D000111	L000000	7000
D000112	L000157	8000
D000113	L000062	10000
D000114	L000062	11000
D000115	L000062	7000
D000116	L000002	11000
D000117	L000001	7000
D000118	L000002	11000
D000119	L000002	11000
D000120	L000001	7000
D000121	L000062	10000
D000122	L000000	11000
D000123	L000000	8000
D000124	L000001	9000
D000125	L000139	11000
D000126	L000139	11000
D000127	L000157	8000
D000128	L000139	11000
D000129	L000062	11000
D000130	L000002	9000
D000131	L000139	11000
D000132	L000002	8000
D000133	L000004	11000
D000134	L000004	11000
D000135	L000002	7000
D000136	L000139	8000
D000137	L000139	10000
D000138	L000000	10000
D000139	L000157	8000
D000140	L000139	9000
D000141	L000139	11000
D000142	L000003	7000
D000143	L000004	11000
D000144	L000062	8000
D000145	L000001	11000
D000146	L000001	10000
D000147	L000001	11000
D000148	L000002	8000
D000149	L000002	8000
D000150	L000157	9000
D000151	L000000	11000
D000152	L000000	11000
D000153	L000001	8000
D000154	L000001	11000
D000155	L000003	10000
D000156	L000001	7000
D000157	L000002	8000
D000158	L000062	9000
D000159	L000000	11000
D000160	L000004	7000
D000161	L000002	11000
D000162	L000062	11000
D000163	L000003	10000
D000164	L000004	7000
D000165	L000139	9000
D000166	L000004	10000
D000167	L000003	7000
D000168	L000062	9000
D000169	L000062	11000
D000170	L000062	9000
D000171	L000062	11000
D000172	L000004	10000
D000173	L000002	7000
D000174	L000004	11000
D000175	L000001	11000
D000176	L000004	11000
D000177	L000000	7000
D000178	L000002	7000
D000179	L000157	10000
D000180	L000157	9000
D000181	L000139	8000
D000182	L000157	10000
D000183	L000062	11000
D000184	L000004	8000
D000185	L000002	9000
D000186	L000002	8000
D000187	L000157	9000
D000188	L000157	7000
D000189	L000000	9000
D000190	L000000	11000
D000191	L000000	9000
D000192	L000139	7000
D000193	L000139	8000
D000194	L000002	8000
D000195	L000003	8000
D000196	L000001	11000
D000197	L000004	9000
D000198	L000002	9000
D000199	L000157	10000
D000200	L000003	8000
D000201	L000003	11000
D000202	L000062	11000
D000203	L000062	7000
D000204	L000001	10000
D000205	L000002	11000
D000206	L000062	7000
