%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000000	L000002	1	2	205	55
T000001	L000002	3	2	230	55
T000002	L000003	1	2	170	55
T000003	L000004	1	1	160	55
T000004	L000000	3	1	160	45
T000005	L000001	2	2	200	30
T000006	L000002	3	2	165	60
T000007	L000003	3	2	290	60
T000008	L000003	3	2	290	40
T000009	L000000	3	2	290	50
T000010	L000001	3	2	230	40
T000011	L000157	3	2	230	35
T000012	L000139	1	1	160	55
T000013	L000004	1	2	205	50
T000014	L000000	2	1	145	50
T000015	L000001	3	2	290	40
T000016	L000000	1	2	205	55
T000017	L000157	1	2	135	50
T000018	L000000	3	1	160	40
T000019	L000000	3	1	270	30
T000020	L000004	3	1	160	55
T000021	L000062	3	1	160	50
T000022	L000001	2	2	150	55
T000023	L000003	2	1	230	45
T000024	L000139	3	2	165	30
T000025	L000157	1	1	185	55
T000026	L000000	2	2	250	50
T000027	L000003	3	1	160	50
T000028	L000001	1	1	185	40
T000029	L000139	1	1	130	55
T000030	L000003	1	1	130	45
T000031	L000004	3	1	270	50
T000032	L000004	2	1	145	40
T000033	L000139	1	1	130	45
T000034	L000157	2	2	150	35
T000035	L000004	1	2	205	55
T000036	L000000	3	2	290	30
T000037	L000003	1	1	185	50
T000038	L000000	2	2	150	50
T000039	L000004	3	1	215	35
T000040	L000004	3	1	270	50
T000041	L000000	3	2	165	50
T000042	L000062	2	1	145	50
T000043	L000002	2	1	185	30
T000044	L000139	3	1	215	50
T000045	L000062	3	2	165	35
T000046	L000157	1	2	135	55
T000047	L000062	2	1	145	45
T000048	L000004	1	1	160	55
T000049	L000000	3	1	215	40
T000050	L000001	1	2	205	50
T000051	L000062	1	2	205	50
T000052	L000157	1	2	170	45
T000053	L000062	3	1	270	60
T000054	L000062	1	1	185	50
T000055	L000139	1	2	135	55
T000056	L000002	1	1	130	45
T000057	L000139	3	2	165	55
T000058	L000000	1	2	135	45
T000059	L000157	2	2	200	55
T000060	L000000	2	1	145	45
T000061	L000004	3	1	215	35
T000062	L000000	1	1	160	55
T000063	L000000	2	1	145	30
T000064	L000139	1	2	170	50
T000065	L000000	2	2	200	40
T000066	L000003	1	2	135	55
T000067	L000157	1	2	205	50
T000068	L000004	1	2	205	50
T000069	L000003	2	2	150	40
T000070	L000157	3	2	230	55
T000071	L000002	2	2	200	35
T000072	L000001	1	2	205	55
T000073	L000139	3	1	270	45
T000074	L000002	1	1	130	45
T000075	L000062	1	1	185	45
T000076	L000003	3	2	290	45
T000077	L000139	1	1	130	50
T000078	L000000	2	1	145	50
T000079	L000002	2	1	145	45
T000080	L000003	2	1	145	45
T000081	L000062	3	2	165	35
T000082	L000062	1	1	130	55
T000083	L000139	3	1	160	50
T000084	L000002	1	2	170	50
T000085	L000000	1	2	205	45
T000086	L000002	3	2	230	50
T000087	L000003	3	2	290	50
T000088	L000001	2	1	145	50
T000089	L000062	3	2	165	30
T000090	L000002	3	1	270	50
T000091	L000000	1	1	160	50
T000092	L000157	1	2	170	50
T000093	L000062	3	1	215	55
T000094	L000062	2	2	200	30
T000095	L000002	1	1	160	55
T000096	L000001	1	1	130	55
T000097	L000002	1	2	135	60
T000098	L000001	1	2	170	55
T000099	L000062	2	1	185	55
T000100	L000000	3	2	290	50
T000101	L000001	3	1	215	40
T000102	L000139	2	2	250	50
T000103	L000157	3	1	160	55
T000104	L000139	2	1	230	30
T000105	L000062	1	2	205	45
T000106	L000002	3	1	215	50
T000107	L000139	1	1	185	55
T000108	L000002	3	1	270	35
T000109	L000004	1	2	205	55
T000110	L000002	1	1	160	60
T000111	L000139	2	2	200	35
T000112	L000000	2	2	250	30
T000113	L000157	1	1	160	50
T000114	L000139	2	2	150	50
T000115	L000003	1	1	185	50
T000116	L000004	1	1	185	50
T000117	L000062	2	1	230	55
T000118	L000001	1	2	135	45
T000119	L000001	3	2	230	35
T000120	L000002	3	1	160	45
T000121	L000002	1	2	135	55
T000122	L000157	3	1	160	50
T000123	L000000	2	2	250	30
T000124	L000001	1	2	205	50
T000125	L000003	3	1	215	35
T000126	L000001	3	2	290	40
T000127	L000157	1	1	160	50
T000128	L000139	3	1	270	35
T000129	L000000	3	2	230	35
T000130	L000139	2	1	230	35
T000131	L000139	1	2	170	50
T000132	L000139	2	1	185	50
T000133	L000139	2	2	150	50
T000134	L000062	2	1	145	30
T000135	L000002	2	1	230	40
T000136	L000062	2	1	185	55
T000137	L000062	1	1	185	50
T000138	L000139	3	2	230	55
T000139	L000062	1	2	135	55
T000140	L000139	3	1	160	55
T000141	L000139	2	1	185	50
T000142	L000004	1	1	185	50
T000143	L000004	3	2	165	30
T000144	L000002	3	2	165	35
T000145	L000062	3	1	215	50
T000146	L000001	3	2	165	50
T000147	L000000	2	1	145	50
T000148	L000003	1	2	205	45
T000149	L000139	2	2	250	40
T000150	L000001	1	2	170	55
T000151	L000062	2	1	230	55
T000152	L000001	2	2	150	55
T000153	L000003	3	1	215	55
T000154	L000002	2	1	145	55
T000155	L000062	3	1	270	50
T000156	L000003	2	2	250	50
T000157	L000002	1	2	205	50
T000158	L000139	1	2	205	55
T000159	L000062	1	1	130	55
T000160	L000004	2	2	200	40
T000161	L000001	1	1	130	55
T000162	L000139	3	2	230	50
T000163	L000062	1	1	185	50
T000164	L000157	1	1	185	50
