%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000,D000001)	(C000000)	L000002	7740000	L000006
T000000	(O000000)	(D000000,D000001)	(C000000)	L000006	11746800	L000127
T000000	()	(D000000,D000001)	(C000000)	L000127	12132000	L000002
T000001	()	(D000002)	(C000001)	L000002	6660000	L000157
T000001	(O000001)	(D000002)	(C000001)	L000157	8938800	L000101
T000001	()	(D000002)	(C000001)	L000101	10814400	L000002
T000002	()	(D000003,D000004)	(C000002)	L000003	8190000	L000143
T000002	(O000002)	(D000003,D000004)	(C000002)	L000143	9594000	L000021
T000002	()	(D000003,D000004)	(C000002)	L000021	11894400	L000003
T000003	()	(D000005)	(C000003)	L000004	6120000	L000092
T000003	(O000003)	(D000005)	(C000003)	L000092	6667200	L000073
T000003	(O000004)	(D000005)	(C000003)	L000073	6735600	L000126
T000003	(O000005)	(D000005)	(C000003)	L000126	6915600	L000034
T000003	()	(D000005)	(C000003)	L000034	7326000	L000004
T000004	()	(D000006)	(C000005,C000004)	L000000	4410000	L000097
T000004	(O000007,O000006)	(D000006)	(C000005,C000004)	L000097	8460000	L000098
T000004	(O000007)	(D000006)	(C000005,C000004)	L000098	8596800	L000039
T000004	(O000008)	(D000006)	(C000005,C000004)	L000039	9104400	L000124
T000004	()	(D000006)	(C000005,C000004)	L000124	9666000	L000139
T000004	(O000009,O000012)	(D000006)	(C000005,C000004)	L000139	11631600	L000189
T000004	(O000012,O000010)	(D000006)	(C000005,C000004)	L000189	12063600	L000036
T000004	(O000012,O000011)	(D000006)	(C000005,C000004)	L000036	14900400	L000082
T000004	(O000012)	(D000006)	(C000005,C000004)	L000082	15591600	L000015
T000004	(O000014,O000013)	(D000006)	(C000005,C000004)	L000015	16113600	L000048
T000004	(O000014)	(D000006)	(C000005,C000004)	L000048	16376400	L000152
T000004	(O000015)	(D000006)	(C000005,C000004)	L000152	19314000	L000000
T000005	()	(D000007)	(C000006)	L000001	4950000	L000108
T000005	(O000016)	(D000007)	(C000006)	L000108	9712800	L000199
T000005	()	(D000007)	(C000006)	L000199	12747600	L000119
T000005	(O000017)	(D000007)	(C000006)	L000119	15757200	L000150
T000005	()	(D000007)	(C000006)	L000150	18961200	L000139
T000005	(O000018)	(D000007)	(C000006)	L000139	19530000	L000094
T000005	()	(D000007)	(C000006)	L000094	22572000	L000120
T000005	(O000019)	(D000007)	(C000006)	L000120	22960800	L000001
T000006	()	(D000008)	(C000008,C000007)	L000002	4590000	L000187
T000006	(O000020)	(D000008)	(C000008,C000007)	L000187	6660000	L000199
T000006	(O000022,O000021)	(D000008)	(C000008,C000007)	L000199	6807600	L000165
T000006	(O000022)	(D000008)	(C000008,C000007)	L000165	6998400	L000144
T000006	()	(D000008)	(C000008,C000007)	L000144	7221600	L000010
T000006	(O000024,O000023)	(D000008)	(C000008,C000007)	L000010	9338400	L000002
T000007	()	(D000009)	(C000009)	L000003	5040000	L000052
T000007	(O000025)	(D000009)	(C000009)	L000052	5817600	L000169
T000007	()	(D000009)	(C000009)	L000169	7704000	L000003
T000008	()	(D000010,D000011)	(C000011,C000010)	L000003	4860000	L000168
T000008	(O000026)	(D000010,D000011)	(C000011,C000010)	L000168	6660000	L000194
T000008	()	(D000010,D000011)	(C000011,C000010)	L000194	6793200	L000104
T000008	(O000028,O000027)	(D000010,D000011)	(C000011,C000010)	L000104	9136800	L000001
T000008	(O000028)	(D000010,D000011)	(C000011,C000010)	L000001	12758400	L000000
T000008	(O000029)	(D000010,D000011)	(C000011,C000010)	L000000	16128000	L000003
T000009	()	(D000012,D000013)	(C000013,C000012)	L000000	4320000	L000002
T000009	(O000030,O000031)	(D000012,D000013)	(C000013,C000012)	L000002	8485200	L000113
T000009	(O000031,O000032)	(D000012,D000013)	(C000013,C000012)	L000113	12646800	L000039
T000009	()	(D000012,D000013)	(C000013,C000012)	L000039	13104000	L000198
T000009	(O000033)	(D000012,D000013)	(C000013,C000012)	L000198	15609600	L000000
T000010	()	(D000014,D000015)	(C000015,C000014)	L000001	5130000	L000134
T000010	(O000034,O000035)	(D000014,D000015)	(C000015,C000014)	L000134	8748000	L000010
T000010	(O000035,O000036)	(D000014,D000015)	(C000015,C000014)	L000010	9493200	L000001
T000011	()	(D000016)	(C000017,C000016)	L000157	5670000	L000105
T000011	(O000037)	(D000016)	(C000017,C000016)	L000105	8496000	L000009
T000011	()	(D000016)	(C000017,C000016)	L000009	9579600	L000058
T000011	(O000038)	(D000016)	(C000017,C000016)	L000058	9835200	L000059
T000011	(O000039,O000040)	(D000016)	(C000017,C000016)	L000059	10245600	L000157
T000012	()	(D000017)	(C000018)	L000139	4230000	L000194
T000012	(O000041)	(D000017)	(C000018)	L000194	4377600	L000089
T000012	()	(D000017)	(C000018)	L000089	6134400	L000153
T000012	(O000042)	(D000017)	(C000018)	L000153	8053200	L000082
T000012	()	(D000017)	(C000018)	L000082	9910800	L000157
T000012	(O000043)	(D000017)	(C000018)	L000157	11757600	L000002
T000012	()	(D000017)	(C000018)	L000002	14043600	L000008
T000012	(O000044)	(D000017)	(C000018)	L000008	18514800	L000177
T000012	()	(D000017)	(C000018)	L000177	20862000	L000028
T000012	(O000045)	(D000017)	(C000018)	L000028	23094000	L000072
T000012	()	(D000017)	(C000018)	L000072	23738400	L000080
T000012	(O000046)	(D000017)	(C000018)	L000080	23835600	L000139
T000012	()	(D000017)	(C000018)	L000139	25412400	L000139
T000013	()	(D000018,D000019)	(C000019)	L000004	5310000	L000174
T000013	(O000047)	(D000018,D000019)	(C000019)	L000174	7707600	L000178
T000013	()	(D000018,D000019)	(C000019)	L000178	8035200	L000005
T000013	(O000048)	(D000018,D000019)	(C000019)	L000005	10378800	L000129
T000013	(O000049)	(D000018,D000019)	(C000019)	L000129	10951200	L000001
T000013	(O000050)	(D000018,D000019)	(C000019)	L000001	13788000	L000005
T000013	()	(D000018,D000019)	(C000019)	L000005	17128800	L000139
T000013	(O000051)	(D000018,D000019)	(C000019)	L000139	19324800	L000004
T000014	()	(D000020)	(C000020)	L000000	5400000	L000083
T000014	(O000052)	(D000020)	(C000020)	L000083	9079200	L000058
T000014	()	(D000020)	(C000020)	L000058	9759600	L000073
T000014	(O000053)	(D000020)	(C000020)	L000073	10591200	L000000
T000015	()	(D000021)	(C000021)	L000001	5220000	L000073
T000015	(O000054)	(D000021)	(C000021)	L000073	8827200	L000147
T000015	()	(D000021)	(C000021)	L000147	11098800	L000001
T000016	()	(D000022,D000023)	(C000022)	L000000	4590000	L000028
T000016	(O000055)	(D000022,D000023)	(C000022)	L000028	8064000	L000174
T000016	()	(D000022,D000023)	(C000022)	L000174	10342800	L000164
T000016	(O000056)	(D000022,D000023)	(C000022)	L000164	10580400	L000079
T000016	()	(D000022,D000023)	(C000022)	L000079	12384000	L000195
T000016	(O000057)	(D000022,D000023)	(C000022)	L000195	14004000	L000000
T000017	()	(D000024,D000025)	(C000023)	L000157	5670000	L000075
T000017	(O000058)	(D000024,D000025)	(C000023)	L000075	7711200	L000083
T000017	()	(D000024,D000025)	(C000023)	L000083	7718400	L000157
T000018	()	(D000026)	(C000024)	L000000	5760000	L000088
T000018	(O000059)	(D000026)	(C000024)	L000088	10357200	L000154
T000018	(O000060)	(D000026)	(C000024)	L000154	12650400	L000094
T000018	(O000061)	(D000026)	(C000024)	L000094	14976000	L000177
T000018	()	(D000026)	(C000024)	L000177	17323200	L000088
T000018	(O000062)	(D000026)	(C000024)	L000088	19666800	L000005
T000018	(O000063)	(D000026)	(C000024)	L000005	20192400	L000062
T000018	()	(D000026)	(C000024)	L000062	20955600	L000090
T000018	(O000064)	(D000026)	(C000024)	L000090	21351600	L000183
T000018	(O000065)	(D000026)	(C000024)	L000183	23788800	L000000
T000019	()	(D000027)	(C000025)	L000000	5580000	L000096
