%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000,D000001)	(C000000)	L000001	4770000	L000050
T000000	(O000000)	(D000000,D000001)	(C000000)	L000050	9104400	L000017
T000000	()	(D000000,D000001)	(C000000)	L000017	9428400	L000001
T000001	()	(D000002)	(C000001)	L000077	5670000	L000002
T000001	(O000001)	(D000002)	(C000001)	L000002	7700400	L000011
T000001	()	(D000002)	(C000001)	L000011	8085600	L000098
T000001	(O000002)	(D000002)	(C000001)	L000098	9439200	L000080
T000001	()	(D000002)	(C000001)	L000080	10710000	L000008
T000001	(O000003)	(D000002)	(C000001)	L000008	12693600	L000015
T000001	(O000004)	(D000002)	(C000001)	L000015	12805200	L000094
T000001	()	(D000002)	(C000001)	L000094	14155200	L000079
T000001	(O000005)	(D000002)	(C000001)	L000079	15933600	L000096
T000001	(O000006)	(D000002)	(C000001)	L000096	16398000	L000036
T000001	(O000007)	(D000002)	(C000001)	L000036	18036000	L000094
T000001	(O000008)	(D000002)	(C000001)	L000094	19742400	L000088
T000001	(O000009)	(D000002)	(C000001)	L000088	21492000	L000077
T000002	()	(D000003)	(C000003,C000002)	L000077	5760000	L000029
T000002	(O000011,O000010)	(D000003)	(C000003,C000002)	L000029	7920000	L000002
T000002	()	(D000003)	(C000003,C000002)	L000002	8366400	L000020
T000002	(O000012)	(D000003)	(C000003,C000002)	L000020	8751600	L000015
T000002	(O000013)	(D000003)	(C000003,C000002)	L000015	9111600	L000077
T000002	()	(D000003)	(C000003,C000002)	L000077	11156400	L000075
T000002	(O000014)	(D000003)	(C000003,C000002)	L000075	13237200	L000077
T000003	()	(D000004)	(C000004)	L000001	630000	L000015
T000003	(O000015)	(D000004)	(C000004)	L000015	4233600	L000003
T000003	()	(D000004)	(C000004)	L000003	5065200	L000031
T000003	(O000016)	(D000004)	(C000004)	L000031	6382800	L000091
T000003	(O000017)	(D000004)	(C000004)	L000091	8182800	L000001
T000004	()	(D000005,D000006)	(C000005)	L000027	1620000	L000063
T000004	(O000018)	(D000005,D000006)	(C000005)	L000063	2487600	L000062
T000004	(O000019)	(D000005,D000006)	(C000005)	L000062	3063600	L000049
T000004	()	(D000005,D000006)	(C000005)	L000049	3564000	L000055
T000004	(O000020)	(D000005,D000006)	(C000005)	L000055	6696000	L000090
T000004	(O000021)	(D000005,D000006)	(C000005)	L000090	10382400	L000007
T000004	(O000022)	(D000005,D000006)	(C000005)	L000007	11527200	L000035
T000004	(O000023)	(D000005,D000006)	(C000005)	L000035	11876400	L000034
T000004	(O000024)	(D000005,D000006)	(C000005)	L000034	12697200	L000027
T000005	()	(D000007,D000008)	(C000007,C000006)	L000004	90000	L000017
T000005	(O000026,O000025)	(D000007,D000008)	(C000007,C000006)	L000017	324000	L000079
T000005	()	(D000007,D000008)	(C000007,C000006)	L000079	1800000	L000004
T000006	()	(D000009)	(C000008)	L000077	360000	L000058
T000006	(O000027)	(D000009)	(C000008)	L000058	2325600	L000081
T000006	(O000028)	(D000009)	(C000008)	L000081	3643200	L000077
T000007	()	(D000010,D000011)	(C000009)	L000001	810000	L000050
T000007	(O000029)	(D000010,D000011)	(C000009)	L000050	5144400	L000043
T000007	(O000030)	(D000010,D000011)	(C000009)	L000043	6912000	L000076
T000007	()	(D000010,D000011)	(C000009)	L000076	8150400	L000001
T000008	()	(D000012,D000013)	(C000010)	L000027	1890000	L000016
T000008	(O000031)	(D000012,D000013)	(C000010)	L000016	2610000	L000012
T000008	()	(D000012,D000013)	(C000010)	L000012	2826000	L000027
T000009	()	(D000014)	(C000011)	L000002	2070000	L000064
T000009	(O000032)	(D000014)	(C000011)	L000064	3373200	L000053
T000009	()	(D000014)	(C000011)	L000053	4482000	L000074
T000009	(O000033)	(D000014)	(C000011)	L000074	5637600	L000066
T000009	()	(D000014)	(C000011)	L000066	6757200	L000055
T000009	(O000034)	(D000014)	(C000011)	L000055	11599200	L000030
T000009	()	(D000014)	(C000011)	L000030	16628400	L000052
T000009	(O000035)	(D000014)	(C000011)	L000052	17532000	L000002
T000010	()	(D000015)	(C000013,C000012)	L000027	90000	L000060
T000010	(O000037,O000036)	(D000015)	(C000013,C000012)	L000060	1047600	L000005
T000010	(O000037)	(D000015)	(C000013,C000012)	L000005	1317600	L000087
T000010	()	(D000015)	(C000013,C000012)	L000087	2642400	L000027
T000011	()	(D000016)	(C000014)	L000027	720000	L000068
T000011	(O000038)	(D000016)	(C000014)	L000068	1864800	L000077
T000011	(O000039)	(D000016)	(C000014)	L000077	4438800	L000014
T000011	()	(D000016)	(C000014)	L000014	6728400	L000031
T000011	(O000040)	(D000016)	(C000014)	L000031	7527600	L000057
T000011	(O000041)	(D000016)	(C000014)	L000057	8139600	L000015
T000011	()	(D000016)	(C000014)	L000015	8506800	L000075
T000011	(O000042)	(D000016)	(C000014)	L000075	8906400	L000027
T000012	()	(D000017)	(C000016,C000015)	L000077	1350000	L000028
T000012	(O000043,O000044)	(D000017)	(C000016,C000015)	L000028	4060800	L000055
T000012	()	(D000017)	(C000016,C000015)	L000055	8589600	L000077
T000013	()	(D000018,D000019)	(C000017)	L000029	540000	L000061
T000013	(O000045)	(D000018,D000019)	(C000017)	L000061	1533600	L000048
T000013	(O000046)	(D000018,D000019)	(C000017)	L000048	3171600	L000029
T000014	()	(D000020)	(C000018)	L000004	1260000	L000091
T000014	(O000047)	(D000020)	(C000018)	L000091	2628000	L000027
T000014	()	(D000020)	(C000018)	L000027	3643200	L000004
T000015	()	(D000021)	(C000019)	L000029	450000	L000047
T000015	(O000048)	(D000021)	(C000019)	L000047	954000	L000011
T000015	()	(D000021)	(C000019)	L000011	1414800	L000029
T000016	()	(D000022)	(C000021,C000020)	L000001	630000	L000027
T000016	(O000049)	(D000022)	(C000021,C000020)	L000027	2872800	L000085
T000016	(O000050)	(D000022)	(C000021,C000020)	L000085	3290400	L000074
T000016	(O000051)	(D000022)	(C000021,C000020)	L000074	4971600	L000034
T000016	(O000053,O000052)	(D000022)	(C000021,C000020)	L000034	5371200	L000036
T000016	(O000053,O000054)	(D000022)	(C000021,C000020)	L000036	5875200	L000004
T000016	(O000056,O000055)	(D000022)	(C000021,C000020)	L000004	6055200	L000049
T000016	(O000056)	(D000022)	(C000021,C000020)	L000049	6462000	L000017
T000016	()	(D000022)	(C000021,C000020)	L000017	6980400	L000041
T000016	(O000057)	(D000022)	(C000021,C000020)	L000041	7628400	L000080
T000016	(O000058)	(D000022)	(C000021,C000020)	L000080	9874800	L000084
T000016	(O000059)	(D000022)	(C000021,C000020)	L000084	11077200	L000034
