%id	is_depot
L000000	true
L000001	true
L000002	true
L000003	true
L000004	true
L000005	false
L000006	false
L000007	false
L000008	false
L000009	false
L000010	false
L000011	false
L000012	false
L000013	false
L000014	false
L000015	false
L000016	false
L000017	false
L000018	false
L000019	false
L000020	false
L000021	false
L000022	false
L000023	false
L000024	false
L000025	false
L000026	false
L000027	true
L000028	false
L000029	true
L000030	false
L000031	false
L000032	false
L000033	false
L000034	false
L000035	false
L000036	false
L000037	false
L000038	false
L000039	false
L000040	false
L000041	false
L000042	false
L000043	false
L000044	false
L000045	false
L000046	false
L000047	false
L000048	false
L000049	false
L000050	false
L000051	false
L000052	false
L000053	false
L000054	false
L000055	false
L000056	false
L000057	false
L000058	false
L000059	false
L000060	false
L000061	false
L000062	false
L000063	false
L000064	false
L000065	false
L000066	false
L000067	false
L000068	false
L000069	false
L000070	false
L000071	false
L000072	false
L000073	false
L000074	false
L000075	false
L000076	false
L000077	true
L000078	false
L000079	false
L000080	false
L000081	false
L000082	false
L000083	false
L000084	false
L000085	false
L000086	false
L000087	false
L000088	false
L000089	false
L000090	false
L000091	false
L000092	false
L000093	false
L000094	false
L000095	false
L000096	false
L000097	false
L000098	false
L000099	false
