%id	home	costs_per_day
D000000	L000001	8000
D000001	L000001	11000
D000002	L000077	10000
D000003	L000077	8000
D000004	L000001	11000
D000005	L000027	10000
D000006	L000027	11000
D000007	L000004	10000
D000008	L000004	9000
D000009	L000077	10000
D000010	L000001	8000
D000011	L000001	10000
D000012	L000027	10000
D000013	L000027	10000
D000014	L000002	10000
D000015	L000027	9000
D000016	L000027	10000
D000017	L000077	11000
D000018	L000029	9000
D000019	L000029	9000
D000020	L000004	8000
D000021	L000029	9000
D000022	L000001	8000
D000023	L000004	8000
D000024	L000004	10000
D000025	L000029	9000
D000026	L000029	11000
D000027	L000002	8000
D000028	L000001	11000
D000029	L000001	7000
D000030	L000029	10000
D000031	L000029	11000
D000032	L000000	10000
D000033	L000004	9000
D000034	L000004	9000
D000035	L000003	9000
D000036	L000000	8000
D000037	L000001	7000
D000038	L000000	7000
D000039	L000001	9000
D000040	L000000	11000
D000041	L000077	8000
D000042	L000003	9000
D000043	L000002	11000
D000044	L000002	8000
D000045	L000077	9000
D000046	L000004	7000
D000047	L000000	7000
D000048	L000003	7000
D000049	L000002	10000
D000050	L000077	7000
D000051	L000000	11000
D000052	L000001	9000
D000053	L000077	8000
D000054	L000001	7000
D000055	L000003	9000
D000056	L000002	10000
D000057	L000000	9000
D000058	L000002	11000
D000059	L000077	11000
D000060	L000003	9000
D000061	L000004	11000
D000062	L000000	11000
D000063	L000027	9000
D000064	L000004	8000
D000065	L000004	8000
D000066	L000027	11000
D000067	L000029	11000
D000068	L000077	11000
D000069	L000029	10000
