%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	8100000	10800000	L000050	9000000	11700000	L000017
O000001	6300000	8100000	L000002	6300000	9000000	L000011
O000002	8100000	9900000	L000098	9900000	10800000	L000080
O000003	12600000	13500000	L000008	12600000	13500000	L000015
O000004	7200000	16200000	L000015	9900000	18000000	L000094
O000005	12600000	18900000	L000079	15300000	20700000	L000096
O000006	15300000	18000000	L000096	17100000	20700000	L000036
O000007	14400000	19800000	L000036	16200000	21600000	L000094
O000008	18900000	20700000	L000094	20700000	22500000	L000088
O000009	20700000	22500000	L000088	20700000	24300000	L000077
O000010	6300000	8100000	L000029	8100000	9000000	L000002
O000011	5400000	9000000	L000029	7200000	9900000	L000002
O000012	6300000	9000000	L000020	9000000	11700000	L000015
O000013	7200000	12600000	L000015	7200000	13500000	L000077
O000014	11700000	14400000	L000075	14400000	17100000	L000077
O000015	2700000	4500000	L000015	4500000	6300000	L000003
O000016	4500000	8100000	L000031	6300000	9900000	L000091
O000017	6300000	9900000	L000091	7200000	11700000	L000001
O000018	0	3600000	L000063	1800000	5400000	L000062
O000019	2700000	3600000	L000062	2700000	5400000	L000049
O000020	2700000	8100000	L000055	7200000	12600000	L000090
O000021	9000000	10800000	L000090	9000000	12600000	L000007
O000022	9900000	13500000	L000007	10800000	14400000	L000035
O000023	11700000	13500000	L000035	11700000	14400000	L000034
O000024	10800000	13500000	L000034	13500000	15300000	L000027
O000025	0	900000	L000017	0	2700000	L000079
O000026	0	900000	L000017	1800000	1800000	L000079
O000027	0	3600000	L000058	1800000	5400000	L000081
O000028	2700000	5400000	L000081	3600000	6300000	L000077
O000029	4500000	5400000	L000050	6300000	7200000	L000043
O000030	1800000	11700000	L000043	1800000	12600000	L000076
O000031	1800000	2700000	L000016	2700000	3600000	L000012
O000032	0	5400000	L000064	1800000	8100000	L000053
O000033	4500000	7200000	L000074	5400000	9000000	L000066
O000034	9900000	11700000	L000055	16200000	17100000	L000030
O000035	15300000	18000000	L000052	17100000	19800000	L000002
O000036	0	1800000	L000060	0	3600000	L000005
O000037	0	1800000	L000060	900000	2700000	L000087
O000038	900000	2700000	L000068	2700000	5400000	L000077
O000039	3600000	5400000	L000077	6300000	7200000	L000014
O000040	7200000	8100000	L000031	8100000	9000000	L000057
O000041	7200000	9000000	L000057	7200000	9000000	L000015
O000042	2700000	10800000	L000075	4500000	14400000	L000027
O000043	2700000	5400000	L000028	8100000	9900000	L000055
O000044	2700000	5400000	L000028	7200000	9900000	L000055
O000045	900000	2700000	L000061	1800000	3600000	L000048
O000046	900000	4500000	L000048	2700000	5400000	L000029
O000047	900000	3600000	L000091	3600000	5400000	L000027
O000048	900000	1800000	L000047	900000	2700000	L000011
O000049	900000	3600000	L000027	1800000	4500000	L000085
O000050	2700000	4500000	L000085	4500000	6300000	L000074
O000051	4500000	5400000	L000074	4500000	6300000	L000034
O000052	2700000	6300000	L000034	4500000	7200000	L000036
O000053	3600000	5400000	L000034	5400000	6300000	L000004
O000054	4500000	6300000	L000036	5400000	7200000	L000004
O000055	3600000	7200000	L000004	4500000	9000000	L000049
O000056	2700000	8100000	L000004	3600000	9900000	L000017
O000057	6300000	9000000	L000041	9000000	9900000	L000080
O000058	7200000	10800000	L000080	9000000	12600000	L000084
O000059	9900000	11700000	L000084	10800000	12600000	L000034
O000060	0	2700000	L000005	900000	5400000	L000064
O000061	2700000	4500000	L000042	8100000	8100000	L000000
O000062	9900000	11700000	L000087	10800000	12600000	L000024
O000063	11700000	12600000	L000024	12600000	14400000	L000033
O000064	4500000	9900000	L000000	11700000	14400000	L000044
O000065	11700000	13500000	L000044	18000000	18900000	L000029
O000066	900000	2700000	L000023	3600000	5400000	L000081
O000067	5400000	8100000	L000005	5400000	10800000	L000047
O000068	5400000	7200000	L000005	6300000	7200000	L000047
O000069	4500000	8100000	L000005	5400000	9900000	L000075
O000070	3600000	7200000	L000047	4500000	9000000	L000075
O000071	7200000	9900000	L000025	9000000	12600000	L000043
O000072	7200000	9900000	L000040	9000000	11700000	L000056
O000073	9000000	9900000	L000051	10800000	12600000	L000001
O000074	9000000	10800000	L000051	11700000	13500000	L000001
O000075	13500000	15300000	L000028	14400000	16200000	L000029
O000076	9900000	11700000	L000047	11700000	13500000	L000098
O000077	7200000	14400000	L000098	9900000	15300000	L000015
O000078	11700000	17100000	L000015	15300000	19800000	L000000
O000079	4500000	7200000	L000006	4500000	8100000	L000022
O000080	6300000	7200000	L000006	7200000	9900000	L000033
O000081	5400000	8100000	L000022	7200000	9900000	L000033
O000082	5400000	10800000	L000022	5400000	13500000	L000033
O000083	8100000	9000000	L000033	9000000	11700000	L000023
O000084	6300000	11700000	L000023	8100000	12600000	L000058
O000085	9000000	11700000	L000023	11700000	13500000	L000048
O000086	5400000	8100000	L000089	6300000	9000000	L000012
O000087	7200000	8100000	L000012	7200000	9900000	L000003
O000088	8100000	10800000	L000051	12600000	13500000	L000007
O000089	11700000	17100000	L000006	16200000	21600000	L000000
O000090	9900000	10800000	L000060	10800000	14400000	L000092
O000091	9000000	9900000	L000065	9900000	10800000	L000070
O000092	5400000	14400000	L000070	8100000	15300000	L000067
O000093	9000000	11700000	L000070	11700000	14400000	L000068
O000094	8100000	15300000	L000068	10800000	16200000	L000046
O000095	13500000	14400000	L000074	13500000	16200000	L000030
O000096	12600000	17100000	L000025	15300000	18900000	L000000
O000097	13500000	15300000	L000025	17100000	18900000	L000000
O000098	2700000	3600000	L000058	2700000	4500000	L000013
O000099	900000	3600000	L000013	900000	4500000	L000060
