%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	900000	6300000	L000040	4500000	9000000	L000026
O000001	4500000	5400000	L000026	4500000	6300000	L000000
O000002	2700000	6300000	L000026	4500000	8100000	L000011
O000003	0	1800000	L000042	0	2700000	L000039
O000004	0	8100000	L000030	0	9000000	L000020
O000005	1800000	8100000	L000020	2700000	9900000	L000002
O000006	900000	2700000	L000042	900000	3600000	L000044
O000007	0	5400000	L000035	1800000	8100000	L000000
O000008	900000	3600000	L000035	2700000	5400000	L000000
O000009	900000	8100000	L000035	1800000	11700000	L000000
O000010	2700000	4500000	L000000	5400000	7200000	L000027
O000011	4500000	7200000	L000027	5400000	9900000	L000017
O000012	900000	7200000	L000000	6300000	11700000	L000027
O000013	7200000	9900000	L000027	8100000	11700000	L000000
O000014	1800000	6300000	L000000	6300000	12600000	L000042
O000015	10800000	11700000	L000042	10800000	13500000	L000033
O000016	11700000	12600000	L000009	12600000	14400000	L000016
O000017	11700000	13500000	L000022	11700000	15300000	L000004
O000018	6300000	18000000	L000022	9900000	21600000	L000043
O000019	13500000	14400000	L000004	13500000	14400000	L000042
O000020	12600000	14400000	L000042	12600000	15300000	L000032
O000021	0	1800000	L000034	900000	5400000	L000031
O000022	1800000	4500000	L000015	3600000	6300000	L000003
O000023	4500000	5400000	L000003	4500000	6300000	L000032
O000024	5400000	7200000	L000022	6300000	7200000	L000011
O000025	900000	1800000	L000034	900000	3600000	L000000
O000026	0	2700000	L000034	0	6300000	L000000
O000027	3600000	4500000	L000017	4500000	5400000	L000004
O000028	0	1800000	L000034	1800000	2700000	L000008
O000029	900000	3600000	L000008	900000	5400000	L000032
