%id	start
C000000	L000011
C000001	L000011
C000002	L000002
C000003	L000032
C000004	L000032
C000005	L000032
C000006	L000011
C000007	L000004
C000008	L000004
C000009	L000011
C000010	L000032
C000011	L000004
C000012	L000002
C000013	L000003
C000014	L000001
C000015	L000024
C000016	L000000
C000017	L000000
C000018	L000011
C000019	L000000
C000020	L000002
C000021	L000024
C000022	L000003
C000023	L000000
C000024	L000003
C000025	L000001
C000026	L000011
C000027	L000000
C000028	L000003
C000029	L000002
