0	27650	20750	20300	18200	16450	18450	21350	19400	17200	18100	25750	26500	26050	24950	25500	27150	26700	19350	18150	25650	18800	24450	24200	8600	2300	5100	26000	26600	2800	1450	26650	18100	17500	15250	20750	20900	16150	17550	19200	15400	18300	14600	15800	17300	15950	22550	16850	16000	14500
27700	0	19550	19200	17000	15350	17250	20250	18350	16050	16900	24600	25350	24950	23800	24350	26000	25550	18200	17050	24500	17700	23350	23050	33900	27600	30400	24850	25450	28100	26300	25450	17000	16350	14150	19650	19800	14950	16350	18050	14300	17200	13450	14700	16200	14900	21400	15750	14850	13300
20600	19300	0	12050	9900	8200	10200	13150	11150	8900	9800	17500	18250	17750	16650	17200	18900	18400	11000	9950	17400	10550	16200	16000	26850	20500	23300	17750	18250	21050	19200	18300	9850	9200	6900	12500	12700	7850	9200	10900	7100	10050	6300	7600	9100	7700	14350	8600	7750	6150
20350	19050	12150	0	9650	7900	9850	12850	10900	8600	9500	17200	17950	17500	16400	16950	18550	18150	10750	9650	17100	10300	15950	15700	26550	20200	23000	17450	18050	20700	18950	18000	9600	8950	6700	12250	12400	7550	9000	10700	6850	9800	6000	7400	8850	7450	14000	8400	7500	5900
18150	16900	10000	9600	0	5750	7650	5200	3200	1000	7350	9600	10350	9900	8750	9300	10950	10500	8600	7450	9500	8150	8300	8050	24300	18000	20800	15250	15850	18550	16700	15850	5750	6350	4450	2650	2800	5450	6750	8500	4650	7600	3800	5150	6600	5300	4400	6150	5300	3700
16450	15200	8250	7900	5800	0	6000	8950	7050	4850	5700	13350	14100	13650	12600	13150	14750	14300	6850	5750	13300	6400	12100	11850	22700	16400	19200	13600	14150	16850	15000	14150	5750	5100	2850	8400	8550	3750	5150	6800	2950	5950	2100	3450	5000	3600	10200	4450	3600	2000
18400	17150	10250	9800	7700	6000	0	10900	8950	6700	7600	15300	16050	15600	14500	15000	16650	16200	8850	7700	15150	8350	14000	13750	24600	18250	21050	15500	16100	18750	16950	16100	7650	7050	4750	10300	10450	5700	7000	8750	4900	7850	4050	5400	6850	5600	12100	6400	5600	3950
21350	20150	13200	12800	5200	9000	10950	0	2000	4250	10550	12800	13600	13100	12000	12550	14200	13750	11750	10700	12700	11350	11600	11250	27500	21250	24000	18550	19100	21750	19950	19050	10600	10000	7750	7850	8000	8650	10000	11750	7900	10900	7050	8400	9900	8500	9600	9400	8550	6950
19350	18100	11250	10800	3200	7000	8950	2000	0	2250	8600	10850	11600	11150	10000	10550	12200	11750	9800	8700	10750	9350	9550	9300	25550	19250	22000	16550	17150	19750	17950	17100	8700	8050	5750	5900	6050	6700	8000	9800	5950	8900	5050	6450	7900	6600	7650	7450	6600	5000
17150	15950	9000	8600	1000	4750	6750	4250	2250	0	6350	8600	9350	8900	7750	8350	10000	9550	7550	6550	8500	7150	7350	7050	23400	17050	19800	14300	14950	17550	15700	14850	6450	5800	3500	3600	3750	4400	5800	7500	3700	6650	2800	4150	5650	4350	5400	5150	4300	2750
