%id	is_depot
L000000	true
L000001	true
L000002	true
L000003	true
L000004	true
L000005	false
L000006	false
L000007	false
L000008	false
L000009	false
L000010	false
L000011	true
L000012	false
L000013	false
L000014	false
L000015	false
L000016	false
L000017	false
L000018	false
L000019	false
L000020	false
L000021	false
L000022	false
L000023	false
L000024	true
L000025	false
L000026	false
L000027	false
L000028	false
L000029	false
L000030	false
L000031	false
L000032	true
L000033	false
L000034	false
L000035	false
L000036	false
L000037	false
L000038	false
L000039	false
L000040	false
L000041	false
L000042	false
L000043	false
L000044	false
L000045	false
L000046	false
L000047	false
L000048	false
L000049	false
