%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000000	L000011	3	1	270	45
T000001	L000002	1	1	160	45
T000002	L000032	3	1	215	55
T000003	L000011	1	2	205	55
T000004	L000004	2	1	145	50
T000005	L000011	3	1	215	40
T000006	L000003	2	1	230	30
T000007	L000024	1	1	160	50
T000008	L000032	1	2	170	50
T000009	L000002	1	1	130	45
T000010	L000000	1	2	205	45
T000011	L000003	1	1	160	55
T000012	L000024	2	1	230	50
T000013	L000003	1	1	185	50
T000014	L000002	3	1	160	55
T000015	L000011	2	1	230	55
T000016	L000003	2	1	185	50
T000017	L000002	3	1	160	50
T000018	L000003	1	1	130	50
T000019	L000004	3	2	165	55
T000020	L000024	2	1	230	45
T000021	L000001	2	1	145	55
T000022	L000000	3	1	215	50
T000023	L000003	2	1	145	50
T000024	L000003	1	1	160	50
T000025	L000032	3	1	215	45
