%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000)	(C000001,C000000)	L000011	2160000	L000040
T000000	(O000000)	(D000000)	(C000001,C000000)	L000040	3142800	L000026
T000000	(O000001,O000002)	(D000000)	(C000001,C000000)	L000026	4582800	L000000
T000000	(O000002)	(D000000)	(C000001,C000000)	L000000	4989600	L000011
T000001	()	(D000001)	(C000002)	L000002	270000	L000042
T000001	(O000003)	(D000001)	(C000002)	L000042	774000	L000039
T000001	()	(D000001)	(C000002)	L000039	1159200	L000030
T000001	(O000004)	(D000001)	(C000002)	L000030	2566800	L000020
T000001	(O000005)	(D000001)	(C000002)	L000020	4500000	L000002
T000002	()	(D000002)	(C000005,C000004,C000003)	L000032	1710000	L000042
T000002	(O000006)	(D000002)	(C000005,C000004,C000003)	L000042	1954800	L000044
T000002	()	(D000002)	(C000005,C000004,C000003)	L000044	2149200	L000035
T000002	(O000009,O000008,O000007)	(D000002)	(C000005,C000004,C000003)	L000035	2750400	L000000
T000002	(O000014,O000010,O000012)	(D000002)	(C000005,C000004,C000003)	L000000	4107600	L000027
T000002	(O000014,O000012,O000011)	(D000002)	(C000005,C000004,C000003)	L000027	5806800	L000017
T000002	(O000014,O000012)	(D000002)	(C000005,C000004,C000003)	L000017	7369200	L000027
T000002	(O000014,O000013)	(D000002)	(C000005,C000004,C000003)	L000027	8928000	L000000
T000002	(O000014)	(D000002)	(C000005,C000004,C000003)	L000000	10634400	L000042
T000002	(O000015)	(D000002)	(C000005,C000004,C000003)	L000042	11588400	L000033
T000002	()	(D000002)	(C000005,C000004,C000003)	L000033	11793600	L000009
T000002	(O000016)	(D000002)	(C000005,C000004,C000003)	L000009	12168000	L000016
T000002	()	(D000002)	(C000005,C000004,C000003)	L000016	12819600	L000022
T000002	(O000018,O000017)	(D000002)	(C000005,C000004,C000003)	L000022	12996000	L000004
T000002	(O000018,O000019)	(D000002)	(C000005,C000004,C000003)	L000004	13543200	L000043
T000002	(O000019)	(D000002)	(C000005,C000004,C000003)	L000043	13878000	L000042
T000002	(O000020)	(D000002)	(C000005,C000004,C000003)	L000042	13978800	L000032
T000003	()	(D000003)	(C000006)	L000011	990000	L000034
T000003	(O000021)	(D000003)	(C000006)	L000034	1778400	L000031
T000003	()	(D000003)	(C000006)	L000031	2624400	L000015
T000003	(O000022)	(D000003)	(C000006)	L000015	4129200	L000003
T000003	(O000023)	(D000003)	(C000006)	L000003	5238000	L000032
T000003	()	(D000003)	(C000006)	L000032	5864400	L000022
T000003	(O000024)	(D000003)	(C000006)	L000022	6760800	L000011
T000004	()	(D000004)	(C000008,C000007)	L000004	720000	L000034
T000004	(O000025,O000026)	(D000004)	(C000008,C000007)	L000034	1040400	L000000
T000004	()	(D000004)	(C000008,C000007)	L000000	2134800	L000017
T000004	(O000027)	(D000004)	(C000008,C000007)	L000017	4057200	L000004
T000005	()	(D000005)	(C000009)	L000011	540000	L000034
T000005	(O000028)	(D000005)	(C000009)	L000034	1623600	L000008
T000005	(O000029)	(D000005)	(C000009)	L000008	2138400	L000032
T000005	()	(D000005)	(C000009)	L000032	2919600	L000011
