%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	2700000	4500000	L000047	2700000	6300000	L000011
O000001	1800000	6300000	L000057	4500000	8100000	L000001
O000002	900000	2700000	L000080	1800000	4500000	L000042
O000003	0	4500000	L000042	900000	6300000	L000032
O000004	0	4500000	L000032	1800000	4500000	L000014
O000005	3600000	6300000	L000096	5400000	8100000	L000004
O000006	900000	1800000	L000050	900000	3600000	L000040
O000007	2700000	4500000	L000057	2700000	6300000	L000082
O000008	2700000	4500000	L000082	3600000	5400000	L000140
O000009	2700000	4500000	L000045	3600000	4500000	L000098
O000010	3600000	4500000	L000098	3600000	5400000	L000058
O000011	3600000	5400000	L000058	5400000	7200000	L000093
O000012	900000	7200000	L000054	4500000	9000000	L000092
O000013	5400000	7200000	L000092	8100000	10800000	L000001
O000014	0	5400000	L000069	1800000	6300000	L000027
O000015	900000	6300000	L000027	1800000	7200000	L000115
O000016	3600000	5400000	L000027	4500000	7200000	L000128
O000017	3600000	8100000	L000115	3600000	9000000	L000128
O000018	3600000	9000000	L000026	6300000	10800000	L000141
O000019	4500000	6300000	L000026	6300000	8100000	L000144
O000020	7200000	9000000	L000141	7200000	10800000	L000015
O000021	6300000	9000000	L000046	8100000	9900000	L000102
O000022	2700000	11700000	L000102	2700000	14400000	L000145
O000023	8100000	9000000	L000145	11700000	12600000	L000002
O000024	900000	5400000	L000143	900000	8100000	L000091
O000025	2700000	6300000	L000091	2700000	8100000	L000001
O000026	2700000	3600000	L000047	4500000	6300000	L000070
O000027	6300000	9000000	L000128	9000000	9900000	L000149
O000028	9000000	10800000	L000055	9900000	13500000	L000003
O000029	11700000	12600000	L000003	12600000	13500000	L000132
O000030	12600000	15300000	L000114	12600000	16200000	L000092
O000031	11700000	15300000	L000092	11700000	18000000	L000067
O000032	900000	4500000	L000082	1800000	6300000	L000056
O000033	2700000	5400000	L000056	4500000	7200000	L000123
O000034	4500000	8100000	L000019	7200000	9000000	L000003
O000035	2700000	4500000	L000004	2700000	5400000	L000107
O000036	0	8100000	L000107	1800000	9000000	L000014
O000037	3600000	5400000	L000107	4500000	5400000	L000108
O000038	2700000	8100000	L000064	5400000	14400000	L000094
O000039	7200000	10800000	L000094	7200000	11700000	L000097
O000040	5400000	9900000	L000097	5400000	14400000	L000044
O000041	8100000	9000000	L000097	8100000	9000000	L000044
O000042	8100000	9000000	L000094	8100000	9900000	L000044
