%id	start
C000000	L000001
C000001	L000004
C000002	L000003
C000003	L000001
C000004	L000004
C000005	L000004
C000006	L000002
C000007	L000002
C000008	L000002
C000009	L000001
C000010	L000003
C000011	L000003
C000012	L000068
C000013	L000002
C000014	L000002
C000015	L000002
C000016	L000002
C000017	L000077
C000018	L000004
C000019	L000149
C000020	L000149
C000021	L000000
C000022	L000002
C000023	L000077
C000024	L000003
C000025	L000077
C000026	L000003
C000027	L000003
C000028	L000000
C000029	L000149
C000030	L000001
C000031	L000001
C000032	L000077
C000033	L000077
C000034	L000001
C000035	L000001
C000036	L000002
C000037	L000002
C000038	L000000
C000039	L000002
C000040	L000002
C000041	L000004
C000042	L000004
C000043	L000003
C000044	L000077
C000045	L000068
C000046	L000002
C000047	L000149
C000048	L000149
C000049	L000000
C000050	L000068
C000051	L000068
C000052	L000002
C000053	L000002
C000054	L000003
C000055	L000003
C000056	L000149
C000057	L000003
C000058	L000003
C000059	L000003
C000060	L000002
C000061	L000001
C000062	L000077
C000063	L000077
C000064	L000002
C000065	L000002
C000066	L000001
C000067	L000001
C000068	L000004
C000069	L000077
C000070	L000068
C000071	L000002
C000072	L000002
C000073	L000149
C000074	L000004
C000075	L000068
C000076	L000001
C000077	L000004
C000078	L000000
C000079	L000002
C000080	L000077
C000081	L000001
C000082	L000077
C000083	L000004
C000084	L000001
C000085	L000000
C000086	L000077
C000087	L000149
C000088	L000002
C000089	L000068
C000090	L000001
C000091	L000068
C000092	L000004
C000093	L000149
C000094	L000068
C000095	L000068
C000096	L000149
C000097	L000149
C000098	L000068
C000099	L000001
C000100	L000001
C000101	L000001
C000102	L000001
C000103	L000000
C000104	L000000
C000105	L000001
C000106	L000003
C000107	L000000
C000108	L000068
C000109	L000000
C000110	L000002
