%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000000	L000001	2	1	230	50
T000001	L000004	2	1	145	50
T000002	L000003	1	2	170	50
T000003	L000001	1	1	130	55
T000004	L000004	2	2	150	50
T000005	L000002	2	1	185	30
T000006	L000002	3	1	270	35
T000007	L000001	1	2	135	50
T000008	L000003	2	1	185	50
T000009	L000003	1	1	160	45
T000010	L000068	1	1	130	50
T000011	L000002	3	1	270	35
T000012	L000002	3	1	215	30
T000013	L000077	2	1	145	30
T000014	L000004	1	2	205	50
T000015	L000149	2	1	185	40
T000016	L000000	2	2	250	35
T000017	L000002	3	1	215	50
T000018	L000077	3	1	215	50
T000019	L000003	2	2	200	50
T000020	L000077	1	2	135	55
T000021	L000003	2	1	230	45
T000022	L000000	2	1	145	35
T000023	L000149	3	2	230	45
T000024	L000001	3	1	270	45
T000025	L000077	2	2	250	35
T000026	L000001	3	1	270	30
T000027	L000002	3	2	165	40
T000028	L000002	1	2	205	50
T000029	L000000	1	2	205	45
T000030	L000002	3	1	215	50
T000031	L000004	3	2	230	55
T000032	L000004	3	2	230	60
T000033	L000003	1	2	205	45
T000034	L000077	1	2	135	55
T000035	L000068	1	2	170	45
T000036	L000002	1	2	205	55
T000037	L000149	3	1	215	50
T000038	L000000	3	2	165	45
T000039	L000068	2	1	145	50
T000040	L000002	2	2	200	55
T000041	L000003	2	2	250	30
T000042	L000003	1	1	185	50
T000043	L000149	1	2	170	45
T000044	L000003	3	1	215	30
T000045	L000002	1	1	130	55
T000046	L000001	2	1	145	55
T000047	L000077	2	1	145	60
T000048	L000002	2	2	150	50
T000049	L000001	3	2	165	50
T000050	L000004	1	1	185	50
T000051	L000077	3	2	165	40
T000052	L000068	1	2	135	50
T000053	L000149	2	2	250	50
T000054	L000077	2	2	250	35
T000055	L000001	1	2	135	55
T000056	L000077	2	2	250	30
T000057	L000004	3	2	230	40
T000058	L000000	2	1	230	45
T000059	L000001	3	2	230	55
T000060	L000068	3	1	160	35
T000061	L000002	3	1	270	55
T000062	L000077	1	2	170	50
T000063	L000077	3	1	160	50
T000064	L000003	3	1	270	35
T000065	L000001	2	2	200	35
T000066	L000003	3	2	165	30
T000067	L000001	3	2	290	45
T000068	L000077	1	1	130	55
T000069	L000000	2	2	150	40
T000070	L000001	1	2	170	40
T000071	L000002	1	1	130	50
T000072	L000000	3	1	160	55
T000073	L000002	1	1	185	50
T000074	L000003	3	2	290	40
T000075	L000077	2	1	230	45
T000076	L000004	2	2	150	30
T000077	L000004	1	1	160	55
T000078	L000001	3	2	165	50
T000079	L000002	2	2	250	50
T000080	L000003	3	1	215	55
T000081	L000001	2	1	185	35
T000082	L000002	3	1	160	30
T000083	L000000	1	1	185	55
T000084	L000000	1	1	160	50
T000085	L000001	1	2	205	55
T000086	L000002	2	1	230	50
T000087	L000000	3	1	215	35
T000088	L000149	1	2	135	50
T000089	L000000	1	1	130	50
T000090	L000149	3	1	160	50
T000091	L000068	3	2	165	55
T000092	L000003	3	1	270	35
