%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000)	(C000000)	L000001	2250000	L000047
T000000	(O000000)	(D000000)	(C000000)	L000047	4348800	L000011
T000000	()	(D000000)	(C000000)	L000011	4831200	L000057
T000000	(O000001)	(D000000)	(C000000)	L000057	5223600	L000001
T000001	()	(D000001)	(C000001)	L000004	2070000	L000080
T000001	(O000002)	(D000001)	(C000001)	L000080	2674800	L000042
T000001	(O000003)	(D000001)	(C000001)	L000042	3423600	L000032
T000001	(O000004)	(D000001)	(C000001)	L000032	4082400	L000014
T000001	()	(D000001)	(C000001)	L000014	4370400	L000096
T000001	(O000005)	(D000001)	(C000001)	L000096	5097600	L000004
T000002	()	(D000002,D000003)	(C000002)	L000003	720000	L000050
T000002	(O000006)	(D000002,D000003)	(C000002)	L000050	1638000	L000040
T000002	()	(D000002,D000003)	(C000002)	L000040	2174400	L000003
T000003	()	(D000004)	(C000003)	L000001	1170000	L000057
T000003	(O000007)	(D000004)	(C000003)	L000057	2905200	L000082
T000003	(O000008)	(D000004)	(C000003)	L000082	3733200	L000140
T000003	()	(D000004)	(C000003)	L000140	3783600	L000045
T000003	(O000009)	(D000004)	(C000003)	L000045	4014000	L000098
T000003	(O000010)	(D000004)	(C000003)	L000098	4298400	L000058
T000003	(O000011)	(D000004)	(C000003)	L000058	4914000	L000093
T000003	()	(D000004)	(C000003)	L000093	5464800	L000054
T000003	(O000012)	(D000004)	(C000003)	L000054	6181200	L000092
T000003	(O000013)	(D000004)	(C000003)	L000092	6879600	L000001
T000004	()	(D000005,D000006)	(C000005,C000004)	L000004	1170000	L000069
T000004	(O000014)	(D000005,D000006)	(C000005,C000004)	L000069	3142800	L000027
T000004	(O000016,O000015)	(D000005,D000006)	(C000005,C000004)	L000027	4932000	L000115
T000004	(O000016,O000017)	(D000005,D000006)	(C000005,C000004)	L000115	5738400	L000128
T000004	()	(D000005,D000006)	(C000005,C000004)	L000128	5878800	L000004
T000005	()	(D000007)	(C000007,C000006)	L000002	900000	L000026
T000005	(O000019,O000018)	(D000007)	(C000007,C000006)	L000026	6148800	L000141
T000005	(O000019,O000020)	(D000007)	(C000007,C000006)	L000141	7736400	L000144
T000005	(O000020)	(D000007)	(C000007,C000006)	L000144	7808400	L000015
T000005	()	(D000007)	(C000007,C000006)	L000015	8276400	L000002
T000006	()	(D000008)	(C000008)	L000002	2790000	L000046
T000006	(O000021)	(D000008)	(C000008)	L000046	7304400	L000102
T000006	(O000022)	(D000008)	(C000008)	L000102	8661600	L000145
T000006	(O000023)	(D000008)	(C000008)	L000145	8787600	L000002
T000007	()	(D000009,D000010)	(C000009)	L000001	900000	L000143
T000007	(O000024)	(D000009,D000010)	(C000009)	L000143	3420000	L000091
T000007	(O000025)	(D000009,D000010)	(C000009)	L000091	3535200	L000001
T000008	()	(D000011)	(C000010)	L000003	1800000	L000047
T000008	(O000026)	(D000011)	(C000010)	L000047	3236400	L000070
T000008	()	(D000011)	(C000010)	L000070	5338800	L000128
T000008	(O000027)	(D000011)	(C000010)	L000128	7671600	L000149
T000008	()	(D000011)	(C000010)	L000149	9104400	L000055
T000008	(O000028)	(D000011)	(C000010)	L000055	10242000	L000003
T000008	(O000029)	(D000011)	(C000010)	L000003	11761200	L000132
T000008	()	(D000011)	(C000010)	L000132	13341600	L000114
T000008	(O000030)	(D000011)	(C000010)	L000114	13507200	L000092
T000008	(O000031)	(D000011)	(C000010)	L000092	13572000	L000067
T000008	()	(D000011)	(C000010)	L000067	14432400	L000003
T000009	()	(D000012)	(C000011)	L000003	1620000	L000082
T000009	(O000032)	(D000012)	(C000011)	L000082	3351600	L000056
T000009	(O000033)	(D000012)	(C000011)	L000056	4438800	L000123
T000009	()	(D000012)	(C000011)	L000123	5637600	L000019
T000009	(O000034)	(D000012)	(C000011)	L000019	6620400	L000003
T000010	()	(D000013)	(C000012)	L000068	900000	L000004
T000010	(O000035)	(D000013)	(C000012)	L000004	2973600	L000107
T000010	(O000036)	(D000013)	(C000012)	L000107	3607200	L000014
T000010	()	(D000013)	(C000012)	L000014	4316400	L000068
T000011	()	(D000014)	(C000013)	L000002	1620000	L000107
T000011	(O000037)	(D000014)	(C000013)	L000107	5256000	L000108
T000011	()	(D000014)	(C000013)	L000108	5346000	L000002
T000012	()	(D000015)	(C000016,C000015,C000014)	L000002	2520000	L000064
T000012	(O000038)	(D000015)	(C000016,C000015,C000014)	L000064	7164000	L000094
T000012	(O000042,O000039)	(D000015)	(C000016,C000015,C000014)	L000094	8244000	L000097
T000012	(O000042,O000040,O000041)	(D000015)	(C000016,C000015,C000014)	L000097	8298000	L000044
T000012	()	(D000015)	(C000016,C000015,C000014)	L000044	8812800	L000002
T000013	()	(D000016)	(C000017)	L000077	990000	L000109
T000013	(O000043)	(D000016)	(C000017)	L000109	1170000	L000051
T000013	()	(D000016)	(C000017)	L000051	1792800	L000073
T000013	(O000044)	(D000016)	(C000017)	L000073	5601600	L000077
T000014	()	(D000017,D000018)	(C000018)	L000004	2340000	L000144
T000014	(O000045)	(D000017,D000018)	(C000018)	L000144	3193200	L000021
T000014	(O000046)	(D000017,D000018)	(C000018)	L000021	4154400	L000006
T000014	(O000047)	(D000017,D000018)	(C000018)	L000006	4690800	L000126
T000014	()	(D000017,D000018)	(C000018)	L000126	5288400	L000013
T000014	(O000048)	(D000017,D000018)	(C000018)	L000013	6231600	L000004
T000015	()	(D000019)	(C000020,C000019)	L000149	810000	L000129
T000015	(O000049)	(D000019)	(C000020,C000019)	L000129	2584800	L000103
T000015	(O000051,O000050)	(D000019)	(C000020,C000019)	L000103	2620800	L000084
T000015	()	(D000019)	(C000020,C000019)	L000084	2876400	L000071
T000015	(O000052)	(D000019)	(C000020,C000019)	L000071	5691600	L000149
T000016	()	(D000020)	(C000021)	L000000	2520000	L000035
T000016	(O000053)	(D000020)	(C000021)	L000035	5011200	L000033
T000016	()	(D000020)	(C000021)	L000033	6224400	L000107
T000016	(O000054)	(D000020)	(C000021)	L000107	7419600	L000132
T000016	(O000055)	(D000020)	(C000021)	L000132	7491600	L000069
T000016	()	(D000020)	(C000021)	L000069	10555200	L000000
T000017	()	(D000021)	(C000022)	L000002	990000	L000146
T000017	(O000056)	(D000021)	(C000022)	L000146	3542400	L000080
T000017	()	(D000021)	(C000022)	L000080	3618000	L000117
T000017	(O000057)	(D000021)	(C000022)	L000117	3690000	L000015
T000017	()	(D000021)	(C000022)	L000015	4039200	L000011
T000017	(O000058)	(D000021)	(C000022)	L000011	4734000	L000051
T000017	()	(D000021)	(C000022)	L000051	5328000	L000039
T000017	(O000059)	(D000021)	(C000022)	L000039	5468400	L000002
T000018	()	(D000022)	(C000023)	L000077	2700000	L000036
T000018	(O000060)	(D000022)	(C000023)	L000036	3560400	L000003
T000018	()	(D000022)	(C000023)	L000003	4413600	L000077
T000019	()	(D000023,D000024)	(C000024)	L000003	1170000	L000052
T000019	(O000061)	(D000023,D000024)	(C000024)	L000052	1944000	L000050
T000019	(O000062)	(D000023,D000024)	(C000024)	L000050	2257200	L000003
T000020	()	(D000025,D000026)	(C000025)	L000077	1440000	L000009
T000020	(O000063)	(D000025,D000026)	(C000025)	L000009	2073600	L000035
T000020	(O000064)	(D000025,D000026)	(C000025)	L000035	2991600	L000077
T000021	()	(D000027)	(C000027,C000026)	L000003	1620000	L000009
T000021	(O000066,O000065)	(D000027)	(C000027,C000026)	L000009	2937600	L000016
T000021	(O000067)	(D000027)	(C000027,C000026)	L000016	4140000	L000075
T000021	(O000068)	(D000027)	(C000027,C000026)	L000075	5799600	L000118
T000021	(O000069)	(D000027)	(C000027,C000026)	L000118	8107200	L000080
T000021	(O000070)	(D000027)	(C000027,C000026)	L000080	8485200	L000128
T000021	(O000071,O000072)	(D000027)	(C000027,C000026)	L000128	8532000	L000090
T000021	(O000073)	(D000027)	(C000027,C000026)	L000090	8805600	L000123
T000021	(O000074)	(D000027)	(C000027,C000026)	L000123	8906400	L000003
T000022	()	(D000028)	(C000028)	L000000	2250000	L000070
T000022	(O000075)	(D000028)	(C000028)	L000070	6624000	L000027
T000022	(O000076)	(D000028)	(C000028)	L000027	9723600	L000123
T000022	(O000077)	(D000028)	(C000028)	L000123	11059200	L000113
T000022	()	(D000028)	(C000028)	L000113	11347200	L000097
T000022	(O000078)	(D000028)	(C000028)	L000097	11617200	L000048
T000022	(O000079)	(D000028)	(C000028)	L000048	13039200	L000000
T000023	()	(D000029,D000030)	(C000029)	L000149	1440000	L000102
T000023	(O000080)	(D000029,D000030)	(C000029)	L000102	2998800	L000047
T000023	()	(D000029,D000030)	(C000029)	L000047	3877200	L000079
T000023	(O000081)	(D000029,D000030)	(C000029)	L000079	4791600	L000069
T000023	()	(D000029,D000030)	(C000029)	L000069	7146000	L000015
T000023	(O000082)	(D000029,D000030)	(C000029)	L000015	9309600	L000149
T000024	()	(D000031)	(C000031,C000030)	L000001	2160000	L000010
T000024	(O000083,O000084)	(D000031)	(C000031,C000030)	L000010	4636800	L000050
T000024	(O000084)	(D000031)	(C000031,C000030)	L000050	4917600	L000001
T000025	()	(D000032)	(C000033,C000032)	L000077	1980000	L000022
T000025	(O000086,O000085)	(D000032)	(C000033,C000032)	L000022	3254400	L000147
T000025	()	(D000032)	(C000033,C000032)	L000147	4514400	L000008
T000025	(O000087)	(D000032)	(C000033,C000032)	L000008	5576400	L000029
T000025	()	(D000032)	(C000033,C000032)	L000029	6267600	L000142
T000025	(O000088)	(D000032)	(C000033,C000032)	L000142	7434000	L000057
T000025	(O000089,O000090)	(D000032)	(C000033,C000032)	L000057	8748000	L000097
T000025	(O000090)	(D000032)	(C000033,C000032)	L000097	10094400	L000077
T000026	()	(D000033)	(C000035,C000034)	L000001	3780000	L000073
T000026	(O000092,O000091)	(D000033)	(C000035,C000034)	L000073	5778000	L000070
T000026	(O000093)	(D000033)	(C000035,C000034)	L000070	6555600	L000096
T000026	(O000094)	(D000033)	(C000035,C000034)	L000096	10321200	L000001
T000027	()	(D000034)	(C000036)	L000002	3510000	L000146
T000027	(O000095)	(D000034)	(C000036)	L000146	6699600	L000142
T000027	()	(D000034)	(C000036)	L000142	6879600	L000026
T000027	(O000096)	(D000034)	(C000036)	L000026	7988400	L000113
T000027	(O000097)	(D000034)	(C000036)	L000113	9129600	L000006
T000027	()	(D000034)	(C000036)	L000006	9853200	L000052
T000027	(O000098)	(D000034)	(C000036)	L000052	10580400	L000076
T000027	(O000099)	(D000034)	(C000036)	L000076	12632400	L000002
T000028	()	(D000035)	(C000037)	L000002	4680000	L000024
T000028	(O000100)	(D000035)	(C000037)	L000024	7657200	L000141
T000028	()	(D000035)	(C000037)	L000141	8431200	L000047
T000028	(O000101)	(D000035)	(C000037)	L000047	9219600	L000016
T000028	()	(D000035)	(C000037)	L000016	9266400	L000029
T000028	(O000102)	(D000035)	(C000037)	L000029	9774000	L000007
T000028	(O000103)	(D000035)	(C000037)	L000007	10328400	L000002
T000029	()	(D000036,D000037)	(C000038)	L000000	6480000	L000078
T000029	(O000104)	(D000036,D000037)	(C000038)	L000078	8899200	L000075
T000029	()	(D000036,D000037)	(C000038)	L000075	11156400	L000025
T000029	(O000105)	(D000036,D000037)	(C000038)	L000025	13309200	L000084
T000029	(O000106)	(D000036,D000037)	(C000038)	L000084	14407200	L000099
T000029	(O000107)	(D000036,D000037)	(C000038)	L000099	14457600	L000000
T000030	()	(D000038)	(C000040,C000039)	L000002	7380000	L000079
T000030	(O000109,O000108)	(D000038)	(C000040,C000039)	L000079	9770400	L000044
T000030	(O000109)	(D000038)	(C000040,C000039)	L000044	10116000	L000002
T000031	()	(D000039,D000040)	(C000041)	L000004	6210000	L000029
T000031	(O000110)	(D000039,D000040)	(C000041)	L000029	6681600	L000048
T000031	()	(D000039,D000040)	(C000041)	L000048	6976800	L000004
T000032	()	(D000041,D000042)	(C000042)	L000004	2160000	L000094
T000032	(O000111)	(D000041,D000042)	(C000042)	L000094	2894400	L000086
T000032	()	(D000041,D000042)	(C000042)	L000086	2923200	L000079
T000032	(O000112)	(D000041,D000042)	(C000042)	L000079	3139200	L000143
T000032	(O000113)	(D000041,D000042)	(C000042)	L000143	3171600	L000013
T000032	(O000114)	(D000041,D000042)	(C000042)	L000013	3949200	L000004
T000033	()	(D000043)	(C000043)	L000003	1890000	L000149
T000033	(O000115)	(D000043)	(C000043)	L000149	4204800	L000100
T000033	()	(D000043)	(C000043)	L000100	5824800	L000011
T000033	(O000116)	(D000043)	(C000043)	L000011	6696000	L000126
T000033	()	(D000043)	(C000043)	L000126	7581600	L000003
T000034	()	(D000044)	(C000044)	L000077	2250000	L000114
T000034	(O000117)	(D000044)	(C000044)	L000114	2383200	L000030
T000034	()	(D000044)	(C000044)	L000030	2692800	L000077
T000035	()	(D000045)	(C000045)	L000068	1620000	L000074
T000035	(O000118)	(D000045)	(C000045)	L000074	2584800	L000030
T000035	(O000119)	(D000045)	(C000045)	L000030	4834800	L000045
T000035	(O000120)	(D000045)	(C000045)	L000045	5428800	L000077
T000035	(O000121)	(D000045)	(C000045)	L000077	5734800	L000131
T000035	(O000122)	(D000045)	(C000045)	L000131	5896800	L000148
T000035	(O000123)	(D000045)	(C000045)	L000148	5968800	L000039
T000035	()	(D000045)	(C000045)	L000039	6512400	L000076
T000035	(O000124)	(D000045)	(C000045)	L000076	8578800	L000068
T000036	()	(D000046,D000047)	(C000046)	L000002	2610000	L000110
T000036	(O000125)	(D000046,D000047)	(C000046)	L000110	4622400	L000125
T000036	(O000126)	(D000046,D000047)	(C000046)	L000125	4874400	L000122
T000036	()	(D000046,D000047)	(C000046)	L000122	4986000	L000121
T000036	(O000127)	(D000046,D000047)	(C000046)	L000121	5036400	L000069
