%id	home	costs_per_day
D000000	L000001	11000
D000001	L000004	10000
D000002	L000003	10000
D000003	L000003	8000
D000004	L000001	8000
D000005	L000004	10000
D000006	L000004	7000
D000007	L000002	7000
D000008	L000002	8000
D000009	L000001	9000
D000010	L000001	10000
D000011	L000003	10000
D000012	L000003	10000
D000013	L000068	7000
D000014	L000002	7000
D000015	L000002	10000
D000016	L000077	8000
D000017	L000004	9000
D000018	L000004	7000
D000019	L000149	8000
D000020	L000000	7000
D000021	L000002	9000
D000022	L000077	8000
D000023	L000003	9000
D000024	L000003	8000
D000025	L000077	11000
D000026	L000077	7000
D000027	L000003	9000
D000028	L000000	11000
D000029	L000149	7000
D000030	L000149	8000
D000031	L000001	8000
D000032	L000077	7000
D000033	L000001	8000
D000034	L000002	8000
D000035	L000002	8000
D000036	L000000	11000
D000037	L000000	7000
D000038	L000002	10000
D000039	L000004	10000
D000040	L000004	9000
D000041	L000004	9000
D000042	L000004	11000
D000043	L000003	10000
D000044	L000077	8000
D000045	L000068	8000
D000046	L000002	8000
D000047	L000002	7000
D000048	L000149	8000
D000049	L000000	11000
D000050	L000000	11000
D000051	L000068	7000
D000052	L000002	11000
D000053	L000002	10000
D000054	L000003	8000
D000055	L000003	8000
D000056	L000003	9000
D000057	L000149	10000
D000058	L000003	11000
D000059	L000002	9000
D000060	L000001	7000
D000061	L000077	8000
D000062	L000002	9000
D000063	L000001	10000
D000064	L000004	10000
D000065	L000077	8000
D000066	L000068	8000
D000067	L000068	9000
D000068	L000003	8000
D000069	L000068	9000
D000070	L000077	7000
D000071	L000004	11000
D000072	L000077	10000
D000073	L000002	7000
D000074	L000003	7000
D000075	L000149	9000
D000076	L000002	10000
D000077	L000003	7000
D000078	L000001	9000
D000079	L000002	10000
D000080	L000002	9000
D000081	L000001	9000
D000082	L000077	7000
D000083	L000000	8000
D000084	L000001	11000
D000085	L000001	11000
D000086	L000000	11000
D000087	L000149	7000
D000088	L000077	7000
D000089	L000004	9000
D000090	L000001	11000
D000091	L000004	11000
D000092	L000077	9000
D000093	L000003	10000
D000094	L000000	9000
D000095	L000002	9000
D000096	L000002	8000
D000097	L000001	7000
D000098	L000000	11000
D000099	L000077	10000
D000100	L000077	11000
D000101	L000002	7000
D000102	L000077	9000
D000103	L000004	7000
D000104	L000003	8000
D000105	L000003	8000
D000106	L000149	11000
D000107	L000068	8000
