%id	start
C000000	L000001
C000001	L000003
C000002	L000003
C000003	L000101
C000004	L000004
C000005	L000001
C000006	L000209
C000007	L000101
C000008	L000101
C000009	L000135
C000010	L000241
C000011	L000102
C000012	L000004
C000013	L000004
C000014	L000004
C000015	L000102
C000016	L000209
C000017	L000135
C000018	L000003
C000019	L000002
C000020	L000102
C000021	L000003
C000022	L000135
C000023	L000135
C000024	L000209
C000025	L000135
C000026	L000004
C000027	L000101
C000028	L000101
C000029	L000209
C000030	L000209
C000031	L000004
C000032	L000002
C000033	L000135
C000034	L000004
C000035	L000101
C000036	L000241
C000037	L000101
C000038	L000101
C000039	L000101
C000040	L000002
C000041	L000135
C000042	L000135
C000043	L000224
C000044	L000224
C000045	L000001
C000046	L000002
C000047	L000002
C000048	L000102
C000049	L000224
C000050	L000002
C000051	L000002
C000052	L000000
C000053	L000000
C000054	L000001
C000055	L000001
C000056	L000224
C000057	L000224
C000058	L000241
C000059	L000135
C000060	L000224
C000061	L000003
C000062	L000209
C000063	L000101
C000064	L000004
C000065	L000209
C000066	L000209
C000067	L000209
C000068	L000000
C000069	L000004
C000070	L000101
C000071	L000101
C000072	L000002
C000073	L000000
C000074	L000209
C000075	L000003
C000076	L000135
C000077	L000224
C000078	L000241
C000079	L000241
C000080	L000209
C000081	L000001
C000082	L000004
C000083	L000004
C000084	L000004
C000085	L000001
C000086	L000003
C000087	L000003
C000088	L000003
C000089	L000102
C000090	L000209
C000091	L000000
C000092	L000224
C000093	L000001
C000094	L000001
C000095	L000001
C000096	L000209
C000097	L000102
C000098	L000209
C000099	L000209
C000100	L000224
C000101	L000135
C000102	L000241
C000103	L000241
C000104	L000003
C000105	L000004
C000106	L000101
C000107	L000224
C000108	L000241
C000109	L000101
C000110	L000224
C000111	L000000
C000112	L000000
C000113	L000000
C000114	L000000
C000115	L000000
C000116	L000101
C000117	L000002
C000118	L000101
C000119	L000135
C000120	L000135
C000121	L000102
C000122	L000003
C000123	L000101
C000124	L000101
C000125	L000209
C000126	L000004
C000127	L000135
C000128	L000135
C000129	L000135
C000130	L000241
C000131	L000241
C000132	L000241
C000133	L000209
C000134	L000000
C000135	L000101
C000136	L000241
C000137	L000135
C000138	L000135
C000139	L000241
C000140	L000241
C000141	L000101
C000142	L000241
C000143	L000004
C000144	L000101
C000145	L000001
C000146	L000002
C000147	L000002
C000148	L000002
C000149	L000101
C000150	L000004
C000151	L000004
C000152	L000000
C000153	L000000
C000154	L000209
C000155	L000224
C000156	L000224
C000157	L000209
C000158	L000102
C000159	L000102
C000160	L000000
C000161	L000101
C000162	L000101
C000163	L000002
C000164	L000135
C000165	L000135
C000166	L000000
C000167	L000000
C000168	L000209
C000169	L000001
C000170	L000001
C000171	L000001
C000172	L000001
C000173	L000241
C000174	L000004
C000175	L000004
C000176	L000004
C000177	L000209
C000178	L000003
C000179	L000001
C000180	L000001
C000181	L000209
C000182	L000004
C000183	L000001
C000184	L000101
C000185	L000241
C000186	L000241
C000187	L000241
C000188	L000224
C000189	L000004
C000190	L000004
C000191	L000209
C000192	L000001
C000193	L000001
C000194	L000001
C000195	L000001
C000196	L000135
C000197	L000135
C000198	L000135
C000199	L000241
C000200	L000102
C000201	L000003
C000202	L000224
C000203	L000224
C000204	L000224
C000205	L000101
C000206	L000102
C000207	L000102
C000208	L000224
C000209	L000224
C000210	L000101
C000211	L000102
C000212	L000241
C000213	L000241
C000214	L000241
C000215	L000135
C000216	L000003
C000217	L000001
C000218	L000001
C000219	L000002
C000220	L000002
C000221	L000002
C000222	L000001
C000223	L000224
C000224	L000102
C000225	L000102
C000226	L000135
C000227	L000135
C000228	L000241
C000229	L000001
C000230	L000004
C000231	L000004
C000232	L000101
C000233	L000135
C000234	L000001
C000235	L000004
C000236	L000001
C000237	L000001
C000238	L000135
C000239	L000135
C000240	L000241
C000241	L000241
C000242	L000004
C000243	L000004
C000244	L000004
C000245	L000004
C000246	L000241
C000247	L000241
C000248	L000135
C000249	L000135
C000250	L000001
C000251	L000102
C000252	L000102
C000253	L000224
C000254	L000209
C000255	L000209
C000256	L000001
C000257	L000004
C000258	L000001
C000259	L000003
C000260	L000003
C000261	L000003
C000262	L000101
C000263	L000101
C000264	L000101
C000265	L000004
C000266	L000002
C000267	L000241
C000268	L000224
C000269	L000000
C000270	L000000
C000271	L000000
C000272	L000102
C000273	L000135
C000274	L000135
C000275	L000135
C000276	L000224
C000277	L000241
C000278	L000000
C000279	L000102
C000280	L000001
C000281	L000102
C000282	L000224
C000283	L000001
C000284	L000224
C000285	L000001
C000286	L000135
C000287	L000135
C000288	L000135
C000289	L000101
C000290	L000101
C000291	L000003
C000292	L000004
C000293	L000003
C000294	L000102
C000295	L000209
C000296	L000000
C000297	L000101
C000298	L000209
C000299	L000101
C000300	L000000
C000301	L000002
C000302	L000000
C000303	L000004
C000304	L000101
C000305	L000001
C000306	L000209
C000307	L000224
C000308	L000001
C000309	L000135
C000310	L000001
C000311	L000241
C000312	L000004
C000313	L000102
C000314	L000209
C000315	L000241
C000316	L000101
C000317	L000224
C000318	L000224
C000319	L000209
C000320	L000224
C000321	L000224
