%id	start_location	max_containers	max_drivers	costs_per_h_km	avg_speed_km_h
T000000	L000001	2	2	150	45
T000001	L000003	2	1	185	55
T000002	L000101	3	1	215	50
T000003	L000004	1	2	170	55
T000004	L000001	2	2	250	30
T000005	L000209	1	1	130	45
T000006	L000101	3	2	290	35
T000007	L000101	1	2	135	50
T000008	L000135	1	1	185	45
T000009	L000241	1	1	185	50
T000010	L000102	1	2	135	55
T000011	L000004	3	1	270	50
T000012	L000102	1	1	160	50
T000013	L000209	3	1	160	50
T000014	L000135	2	2	150	50
T000015	L000003	1	1	160	50
T000016	L000002	1	1	185	55
T000017	L000102	2	2	250	50
T000018	L000003	1	1	160	55
T000019	L000135	2	2	150	40
T000020	L000209	2	2	200	50
T000021	L000135	3	2	290	50
T000022	L000004	1	1	160	50
T000023	L000101	2	2	200	40
T000024	L000209	2	2	250	35
T000025	L000004	1	1	185	55
T000026	L000002	1	2	205	50
T000027	L000135	2	1	230	30
T000028	L000004	1	2	205	55
T000029	L000101	3	2	165	30
T000030	L000241	1	1	160	50
T000031	L000101	3	2	230	40
T000032	L000002	1	1	160	50
T000033	L000135	3	1	215	35
T000034	L000224	1	1	160	50
T000035	L000224	1	1	130	55
T000036	L000001	1	2	135	50
T000037	L000002	3	1	270	30
T000038	L000102	1	2	170	55
T000039	L000224	2	2	150	50
T000040	L000002	2	2	150	50
T000041	L000000	3	2	290	30
T000042	L000001	2	2	200	45
T000043	L000224	1	2	205	50
T000044	L000224	1	2	135	45
T000045	L000241	3	2	165	30
T000046	L000135	1	1	160	50
T000047	L000224	1	2	170	40
T000048	L000003	2	1	145	45
T000049	L000209	1	2	170	55
T000050	L000101	1	2	170	55
T000051	L000004	3	1	160	45
T000052	L000209	3	2	165	50
T000053	L000209	2	1	230	50
T000054	L000000	1	2	205	55
T000055	L000004	2	1	145	40
T000056	L000101	2	1	145	45
T000057	L000101	1	2	170	60
T000058	L000002	1	1	160	50
T000059	L000000	1	2	170	55
T000060	L000209	1	1	160	60
T000061	L000003	3	1	270	30
T000062	L000135	1	1	130	55
T000063	L000224	1	2	170	45
T000064	L000241	2	2	250	50
T000065	L000209	1	2	170	45
