%id	home	costs_per_day
D000000	L000001	10000
D000001	L000003	7000
D000002	L000101	9000
D000003	L000004	11000
D000004	L000001	11000
D000005	L000209	7000
D000006	L000101	8000
D000007	L000101	8000
D000008	L000135	9000
D000009	L000241	11000
D000010	L000102	11000
D000011	L000102	9000
D000012	L000004	11000
D000013	L000102	10000
D000014	L000209	7000
D000015	L000135	7000
D000016	L000135	9000
D000017	L000003	8000
D000018	L000002	9000
D000019	L000102	11000
D000020	L000102	11000
D000021	L000003	7000
D000022	L000135	7000
D000023	L000135	8000
D000024	L000209	9000
D000025	L000209	10000
D000026	L000135	7000
D000027	L000004	7000
D000028	L000101	7000
D000029	L000209	7000
D000030	L000209	11000
D000031	L000004	8000
D000032	L000002	8000
D000033	L000135	9000
D000034	L000004	7000
D000035	L000004	9000
D000036	L000101	7000
D000037	L000101	8000
D000038	L000241	9000
D000039	L000101	11000
D000040	L000002	9000
D000041	L000135	9000
D000042	L000224	11000
D000043	L000224	11000
D000044	L000001	9000
D000045	L000002	9000
D000046	L000102	9000
D000047	L000224	8000
D000048	L000002	8000
D000049	L000000	8000
D000050	L000000	10000
D000051	L000001	7000
D000052	L000224	10000
D000053	L000224	10000
D000054	L000241	11000
D000055	L000241	11000
D000056	L000135	8000
D000057	L000224	9000
D000058	L000224	8000
D000059	L000003	7000
D000060	L000209	8000
D000061	L000209	9000
D000062	L000101	9000
D000063	L000004	9000
D000064	L000209	8000
D000065	L000209	9000
D000066	L000209	8000
D000067	L000000	7000
D000068	L000004	9000
D000069	L000101	11000
D000070	L000101	11000
D000071	L000002	10000
D000072	L000000	8000
D000073	L000209	11000
D000074	L000003	8000
D000075	L000135	11000
D000076	L000224	11000
D000077	L000224	8000
D000078	L000241	8000
D000079	L000241	7000
D000080	L000209	9000
D000081	L000001	7000
D000082	L000004	11000
D000083	L000004	7000
D000084	L000004	10000
D000085	L000001	11000
D000086	L000003	9000
D000087	L000102	7000
D000088	L000209	11000
D000089	L000000	9000
D000090	L000224	9000
D000091	L000001	7000
D000092	L000001	7000
D000093	L000209	10000
D000094	L000102	10000
D000095	L000102	11000
D000096	L000209	8000
D000097	L000224	11000
D000098	L000135	11000
D000099	L000241	9000
D000100	L000241	7000
D000101	L000003	9000
D000102	L000003	7000
D000103	L000004	8000
D000104	L000101	9000
D000105	L000224	10000
D000106	L000241	10000
D000107	L000101	11000
D000108	L000224	8000
D000109	L000000	9000
D000110	L000000	8000
D000111	L000000	8000
D000112	L000000	8000
D000113	L000101	8000
D000114	L000002	11000
D000115	L000002	10000
D000116	L000101	10000
D000117	L000135	11000
D000118	L000102	7000
D000119	L000003	10000
D000120	L000003	10000
D000121	L000101	7000
D000122	L000101	7000
D000123	L000209	11000
D000124	L000004	11000
D000125	L000135	10000
D000126	L000135	8000
D000127	L000135	8000
D000128	L000241	8000
D000129	L000209	10000
D000130	L000209	11000
D000131	L000000	9000
D000132	L000101	11000
D000133	L000241	7000
D000134	L000241	9000
D000135	L000135	9000
D000136	L000135	7000
D000137	L000135	10000
D000138	L000241	10000
D000139	L000241	9000
D000140	L000101	9000
D000141	L000241	9000
D000142	L000004	11000
D000143	L000004	7000
D000144	L000101	10000
D000145	L000001	8000
D000146	L000002	9000
D000147	L000101	8000
D000148	L000004	11000
D000149	L000000	9000
D000150	L000209	11000
D000151	L000224	8000
D000152	L000209	9000
D000153	L000102	10000
D000154	L000102	7000
D000155	L000000	9000
D000156	L000000	7000
D000157	L000101	7000
D000158	L000002	7000
D000159	L000135	9000
D000160	L000000	7000
D000161	L000209	9000
D000162	L000001	9000
D000163	L000001	9000
D000164	L000241	7000
D000165	L000004	8000
D000166	L000209	11000
D000167	L000003	10000
D000168	L000001	8000
D000169	L000209	10000
D000170	L000004	9000
D000171	L000004	10000
D000172	L000001	11000
D000173	L000101	8000
D000174	L000241	7000
D000175	L000241	11000
D000176	L000224	7000
D000177	L000004	9000
D000178	L000209	11000
D000179	L000209	11000
D000180	L000001	10000
D000181	L000001	7000
D000182	L000001	7000
D000183	L000001	10000
D000184	L000001	9000
D000185	L000135	7000
D000186	L000241	10000
D000187	L000241	9000
D000188	L000102	9000
D000189	L000003	8000
D000190	L000224	7000
D000191	L000101	7000
D000192	L000101	8000
D000193	L000102	7000
D000194	L000224	11000
D000195	L000224	10000
D000196	L000224	8000
D000197	L000101	11000
D000198	L000102	9000
D000199	L000241	7000
D000200	L000135	8000
D000201	L000003	7000
D000202	L000001	11000
D000203	L000001	10000
D000204	L000001	8000
D000205	L000001	8000
D000206	L000002	10000
D000207	L000001	11000
D000208	L000224	11000
D000209	L000224	11000
D000210	L000102	10000
D000211	L000135	7000
D000212	L000135	8000
D000213	L000241	10000
D000214	L000241	7000
D000215	L000001	11000
D000216	L000001	9000
D000217	L000004	11000
D000218	L000004	8000
D000219	L000101	7000
D000220	L000135	11000
D000221	L000001	7000
D000222	L000001	9000
D000223	L000004	8000
D000224	L000001	8000
D000225	L000001	8000
D000226	L000135	7000
D000227	L000241	8000
D000228	L000004	7000
D000229	L000004	10000
D000230	L000241	7000
D000231	L000135	8000
D000232	L000001	10000
D000233	L000001	8000
D000234	L000102	7000
D000235	L000224	8000
D000236	L000209	11000
D000237	L000001	11000
D000238	L000004	8000
D000239	L000001	8000
D000240	L000003	8000
D000241	L000003	9000
D000242	L000101	8000
D000243	L000101	9000
D000244	L000101	11000
D000245	L000004	11000
D000246	L000002	7000
D000247	L000002	7000
D000248	L000241	10000
D000249	L000224	11000
D000250	L000000	7000
D000251	L000102	9000
D000252	L000135	7000
D000253	L000135	9000
D000254	L000224	11000
D000255	L000241	9000
D000256	L000000	8000
D000257	L000000	10000
D000258	L000102	8000
D000259	L000102	9000
D000260	L000001	7000
D000261	L000102	9000
D000262	L000224	8000
D000263	L000001	11000
D000264	L000001	7000
D000265	L000224	8000
D000266	L000001	11000
D000267	L000001	8000
D000268	L000135	10000
D000269	L000135	10000
D000270	L000101	7000
D000271	L000101	7000
D000272	L000003	8000
D000273	L000004	7000
D000274	L000003	10000
D000275	L000102	11000
D000276	L000102	11000
D000277	L000209	11000
D000278	L000000	7000
D000279	L000101	7000
D000280	L000209	7000
D000281	L000209	10000
D000282	L000101	7000
D000283	L000101	11000
D000284	L000000	11000
D000285	L000002	7000
D000286	L000000	8000
D000287	L000000	11000
D000288	L000004	9000
D000289	L000101	7000
D000290	L000001	8000
D000291	L000209	11000
D000292	L000224	9000
D000293	L000224	9000
D000294	L000001	10000
D000295	L000135	8000
D000296	L000001	11000
D000297	L000001	9000
D000298	L000241	11000
D000299	L000241	8000
D000300	L000004	7000
D000301	L000102	9000
D000302	L000102	9000
D000303	L000209	10000
D000304	L000209	9000
D000305	L000241	8000
D000306	L000101	11000
D000307	L000224	9000
D000308	L000224	10000
D000309	L000209	10000
D000310	L000224	7000
D000311	L000001	8000
D000312	L000135	8000
D000313	L000001	8000
D000314	L000224	7000
D000315	L000001	11000
D000316	L000102	11000
D000317	L000000	7000
D000318	L000003	8000
D000319	L000102	8000
D000320	L000224	8000
D000321	L000004	8000
D000322	L000004	9000
D000323	L000241	8000
D000324	L000000	8000
D000325	L000135	10000
D000326	L000101	9000
D000327	L000102	9000
D000328	L000102	10000
D000329	L000102	11000
D000330	L000001	10000
D000331	L000102	11000
D000332	L000000	7000
D000333	L000135	9000
D000334	L000002	10000
D000335	L000003	11000
D000336	L000004	8000
D000337	L000002	10000
D000338	L000209	8000
D000339	L000001	10000
D000340	L000001	11000
D000341	L000209	11000
D000342	L000101	9000
D000343	L000135	10000
D000344	L000004	8000
D000345	L000102	8000
D000346	L000000	10000
D000347	L000135	7000
D000348	L000004	7000
D000349	L000004	9000
D000350	L000002	8000
D000351	L000102	8000
D000352	L000000	10000
D000353	L000209	8000
D000354	L000002	10000
D000355	L000002	7000
D000356	L000000	9000
D000357	L000241	11000
D000358	L000002	9000
D000359	L000000	9000
D000360	L000101	11000
D000361	L000101	10000
D000362	L000002	11000
D000363	L000209	10000
D000364	L000004	10000
D000365	L000241	11000
D000366	L000209	11000
D000367	L000241	7000
D000368	L000000	11000
D000369	L000003	10000
