%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	6300000	9900000	L000070	9000000	12600000	L000025
O000001	5400000	17100000	L000025	9000000	18000000	L000001
O000002	2700000	4500000	L000264	2700000	5400000	L000033
O000003	0	8100000	L000264	2700000	10800000	L000003
O000004	2700000	5400000	L000033	5400000	9000000	L000003
O000005	7200000	8100000	L000072	9000000	10800000	L000159
O000006	10800000	17100000	L000052	15300000	22500000	L000101
O000007	4500000	10800000	L000288	9900000	17100000	L000187
O000008	9000000	11700000	L000285	14400000	16200000	L000027
O000009	14400000	15300000	L000027	19800000	21600000	L000190
O000010	6300000	8100000	L000273	8100000	9000000	L000184
O000011	9900000	15300000	L000197	15300000	20700000	L000002
O000012	21600000	24300000	L000077	27000000	30600000	L000209
O000013	9000000	10800000	L000090	13500000	14400000	L000086
O000014	12600000	15300000	L000086	15300000	17100000	L000243
O000015	16200000	17100000	L000243	17100000	18000000	L000244
O000016	17100000	18900000	L000244	20700000	21600000	L000059
O000017	4500000	5400000	L000251	6300000	7200000	L000061
O000018	7200000	8100000	L000158	11700000	13500000	L000009
O000019	10800000	13500000	L000009	12600000	14400000	L000273
O000020	13500000	18000000	L000111	16200000	21600000	L000045
O000021	17100000	22500000	L000045	18000000	24300000	L000072
O000022	21600000	26100000	L000112	26100000	32400000	L000135
O000023	6300000	9000000	L000190	9900000	11700000	L000087
O000024	12600000	14400000	L000114	14400000	16200000	L000094
O000025	19800000	21600000	L000239	25200000	27000000	L000241
O000026	1800000	7200000	L000085	5400000	9000000	L000291
O000027	8100000	11700000	L000045	14400000	17100000	L000212
O000028	13500000	16200000	L000212	20700000	21600000	L000102
O000029	8100000	9000000	L000152	14400000	16200000	L000222
O000030	5400000	9900000	L000152	15300000	18900000	L000139
O000031	15300000	16200000	L000222	17100000	18900000	L000139
O000032	7200000	9900000	L000152	17100000	18000000	L000139
O000033	17100000	19800000	L000182	17100000	21600000	L000177
O000034	18900000	20700000	L000177	25200000	27000000	L000229
O000035	10800000	13500000	L000142	15300000	17100000	L000204
O000036	19800000	22500000	L000142	24300000	27000000	L000098
O000037	24300000	33300000	L000128	29700000	36000000	L000102
O000038	7200000	14400000	L000004	10800000	18900000	L000227
O000039	14400000	17100000	L000227	16200000	19800000	L000257
O000040	15300000	19800000	L000257	17100000	21600000	L000256
O000041	18000000	21600000	L000256	21600000	25200000	L000209
O000042	8100000	10800000	L000015	11700000	13500000	L000189
O000043	11700000	13500000	L000189	16200000	17100000	L000203
O000044	15300000	18900000	L000203	18000000	20700000	L000155
O000045	22500000	24300000	L000049	26100000	27900000	L000089
O000046	26100000	28800000	L000089	27900000	29700000	L000271
O000047	27900000	30600000	L000271	32400000	36000000	L000238
O000048	36900000	39600000	L000095	40500000	43200000	L000135
O000049	9000000	10800000	L000143	12600000	14400000	L000193
O000050	12600000	15300000	L000193	15300000	16200000	L000003
O000051	9900000	13500000	L000192	13500000	18000000	L000133
O000052	15300000	17100000	L000133	17100000	21600000	L000191
O000053	18900000	19800000	L000235	23400000	25200000	L000238
O000054	11700000	15300000	L000049	13500000	18000000	L000146
O000055	17100000	22500000	L000038	22500000	25200000	L000237
O000056	6300000	9000000	L000012	9900000	11700000	L000077
O000057	10800000	11700000	L000025	10800000	11700000	L000072
O000058	9000000	11700000	L000025	9900000	12600000	L000072
O000059	9900000	12600000	L000072	14400000	18000000	L000135
O000060	9900000	11700000	L000017	11700000	12600000	L000089
O000061	8100000	14400000	L000089	13500000	19800000	L000209
O000062	9900000	13500000	L000022	13500000	18000000	L000229
O000063	11700000	19800000	L000229	19800000	26100000	L000017
O000064	20700000	22500000	L000017	24300000	26100000	L000196
O000065	8100000	11700000	L000040	14400000	18900000	L000219
O000066	12600000	18900000	L000219	18000000	20700000	L000093
O000067	12600000	13500000	L000069	18900000	20700000	L000002
O000068	25200000	27000000	L000204	31500000	34200000	L000101
