%truck	orders	drivers	containers	from	start_time	to
T000000	()	(D000000,D000001)	(C000001,C000000)	L000000	2610000	L000016
T000000	(O000001,O000000)	(D000000,D000001)	(C000001,C000000)	L000016	3650400	L000000
T000000	()	(D000000,D000001)	(C000001,C000000)	L000000	4683600	L000010
T000000	(O000002)	(D000000,D000001)	(C000001,C000000)	L000010	5691600	L000006
T000000	(O000003)	(D000000,D000001)	(C000001,C000000)	L000006	6350400	L000000
T000001	()	(D000002)	(C000002)	L000019	2520000	L000008
T000001	(O000004)	(D000002)	(C000002)	L000008	2566800	L000011
T000001	(O000005)	(D000002)	(C000002)	L000011	3081600	L000018
T000001	(O000006)	(D000002)	(C000002)	L000018	3114000	L000005
T000001	(O000007)	(D000002)	(C000002)	L000005	3765600	L000013
T000001	()	(D000002)	(C000002)	L000013	4554000	L000010
T000001	(O000008)	(D000002)	(C000002)	L000010	4676400	L000008
T000001	()	(D000002)	(C000002)	L000008	5346000	L000019
T000002	()	(D000003)	(C000003)	L000015	3060000	L000002
T000002	(O000009)	(D000003)	(C000003)	L000002	4770000	L000004
T000002	()	(D000003)	(C000003)	L000004	5619600	L000015
