%id	pickup_window_start	pickup_window_end	pickup_location	delivery_window_start	delivery_window_end	delivery_location
O000000	2700000	5400000	L000016	2700000	7200000	L000000
O000001	1800000	5400000	L000016	2700000	7200000	L000000
O000002	4500000	6300000	L000010	5400000	8100000	L000006
O000003	4500000	7200000	L000006	4500000	8100000	L000000
O000004	1800000	2700000	L000008	2700000	3600000	L000011
O000005	0	3600000	L000011	0	5400000	L000018
O000006	1800000	3600000	L000018	2700000	5400000	L000005
O000007	2700000	5400000	L000005	2700000	6300000	L000013
O000008	2700000	7200000	L000010	2700000	9900000	L000008
O000009	3600000	5400000	L000002	4500000	7200000	L000004
