0	15700	10500	16450	5600	6750	5000	4900	5200	14100	14000	11850	13150	14200	13700	12800	14450	18050	12350	4550
15550	0	17050	22950	12150	13300	11550	11450	11750	20600	20550	18350	19650	20650	20200	19300	20900	24600	18800	11050
10450	17050	0	17950	7100	8150	6450	6350	6700	15500	15500	13300	14500	15550	15150	14150	15800	19500	13700	5950
16400	23100	18050	0	12150	13300	11550	12400	11750	6500	2450	4650	3500	4050	4500	5350	7050	10750	5100	12000
5550	12250	7100	12150	0	1150	650	1450	400	9750	9700	7500	8850	9800	9400	8400	10100	13750	7950	1150
6650	13300	8200	13300	1150	0	1700	2600	1550	10850	10850	8600	9900	10950	10500	9550	11200	14900	9100	2200
4950	11650	6500	11650	650	1750	0	850	200	9200	9100	6900	8250	9300	8900	7850	9500	13200	7400	450
4800	11500	6400	12300	1450	2600	900	0	1050	9950	9900	7700	8950	10050	9600	8600	10250	13900	8100	350
5200	11850	6700	11800	400	1550	200	1050	0	9400	9300	7150	8550	9550	9150	8100	9700	13450	7650	750
13950	20600	15500	6500	9750	10850	9150	9850	9350	0	4050	2300	3600	2400	2300	1300	1500	5250	1850	9500
13950	20600	15500	2450	9750	10850	9150	9850	9300	4050	0	2250	1050	1700	1950	2950	4650	8300	2700	9500
11800	18400	13350	4700	7550	8700	6900	7700	7150	2250	2250	0	1300	2350	1950	900	2600	6300	450	7300
13050	19700	14650	3500	8800	10000	8200	8950	8400	3600	1050	1300	0	2800	3000	2200	3900	7600	1750	8600
14000	20700	15600	4050	9800	10950	9250	10000	9450	2400	1700	2350	2750	0	450	1450	3100	6750	1900	9550
13650	20250	15150	4400	9400	10500	8850	9550	9050	2350	1950	1950	3000	450	0	1000	2650	6350	1500	9150
12700	19300	14250	5400	8450	9550	7850	8600	8100	1300	2950	950	2250	1450	1000	0	1700	5350	550	8200
14350	21050	15900	7000	10100	11250	9500	10300	9750	1500	4600	2600	3900	3100	2650	1700	0	3650	2200	9950
18050	24650	19550	10750	13750	14850	13200	13900	13400	5200	8300	6250	7550	6750	6300	5400	3650	0	5850	13550
12150	18900	13700	5100	7950	9050	7350	8100	7550	1850	2700	450	1750	1900	1500	550	2200	5850	0	7750
4450	11100	6000	11950	1100	2200	450	350	650	9550	9500	7300	8550	9700	9200	8200	9850	13550	7750	0
